id,title,authors,venue,year
21,approximating aggregate queries about web pages via random walks,"jittat fakcharoenphol , steve chien , ziv bar-yossef , alexander berg , dror weitz",vldb,2000
49,an overview of data warehousing and olap technology,"surajit chaudhuri , umeshwar dayal",sigmod record,1997
57,research in information managment at dublin city university,"alan f. smeaton , mark roantree",sigmod record,2002
59,analyzing energy behavior of spatial access methods for memory-resident data,"anand sivasubramaniam , sudhanva gurumurthi , narayanan vijaykrishnan , ning an , mary jane irwin , mahmut t. kandemir",vldb,2001
64,the intrinsic problems of structural heterogeneity and an approach to their solution,"theo härder , joachim thomas , günter sauter",vldb j.,1999
65,a database perspective on lotus domino/notes,c. mohan,sigmod conference,1999
73,prefer : a system for the efficient execution of multi-parametric ranked queries,"yannis papakonstantinou , vagelis hristidis , nick koudas",sigmod conference,2001
104,path sharing and predicate evaluation for high-performance xml filtering,"yanlei diao , hao zhang , peter m. fischer , michael j. franklin , mehmet altinel",acm trans . database syst .,2003
105,processing set expressions over continuous update streams,"sumit ganguly , minos n. garofalakis , rajeev rastogi",sigmod conference,2003
135,semint : a system prototype for semantic integration in heterogeneous databases,"wen-syan li , chris clifton",sigmod conference,1995
138,type-checking oql queries in the odmg type systems,suad alagic,acm trans . database syst .,1999
153,including group-by in query optimization,"surajit chaudhuri , kyuseok shim",vldb,1994
159,eliminating fuzzy duplicates in data warehouses,"rohit ananthakrishna , venkatesh ganti , surajit chaudhuri",vldb,2002
163,xsearch : a semantic search engine for xml,"yaron kanza , yehoshua sagiv , sara cohen , jonathan mamou",vldb,2003
189,directv and oracle rdb : the challenges of vldb transaction processing,william l. gettys,sigmod conference,1995
225,implementing xquery,paul cotton,sigmod conference,2002
229,the aditi deductive database system,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi",vldb j.,1994
241,extended wavelets for multiple measures,"antonios deligiannakis , nick roussopoulos",sigmod conference,2003
246,the lotus notes storage system,kenneth moore,sigmod conference,1995
249,using schematically heterogeneous structures,renée j. miller,sigmod conference,1998
262,a characterization of the sensitivity of query optimization to storage access cost parameters,"tapas kanungo , frederick reiss",sigmod conference,2003
286,continuous queries over data streams,"jennifer widom , shivnath babu",sigmod record,2001
309,xperanto : middleware for publishing object-relational data as xml documents,"michael j. carey , subbu n. subramanian , eugene j. shekita , jerry kiernan , jayavel shanmugasundaram",vldb,2000
312,a hypertext query language for images,li yang,sigmod record,1994
316,banks : browsing and keyword searching in relational databases,"arvind hulgeri , gaurav bhalotia , soumen chakrabarti , parag , s. sudarshan , charuta nakhe , b. aditya",vldb,2002
329,the oodb path-method generator ( pmg ) using access weights and precomputed access relevance,"james geller , ashish mehta , erich j. neuhold , yehoshua perl",vldb j.,1998
333,querying structured text in an xml database,"h. v. jagadish , shurug al-khalifa , cong yu",sigmod conference,2003
340,progressive merge join : a generic and non-blocking sort-based join algorithm,"jens-peter dittrich , peter widmayer , david scot taylor , bernhard seeger",vldb,2002
341,implementation of magic-sets in a relational database system,"inderpal singh mumick , hamid pirahesh",sigmod conference,1994
342,managing multiple and distributed ontologies on the semantic web,"boris motik , alexander maedche , ljiljana stojanovic",vldb j.,2003
343,outlier detection for high dimensional data,"charu c. aggarwal , philip s. yu",sigmod conference,2001
353,dec data distributor : for data replication and data warehousing,daniel j. dietterich,sigmod conference,1994
357,the ins and outs ( and everthing in between ) of data warehousing,"donovan a. schneider , phillip m. fernandez",sigmod conference,1996
365,some issues in design of distributed deductive databases,"nandlal l. sarda , mukesh k. mohania",vldb,1994
373,procedures in object-oriented query languages,"kazimierz subieta , jacek leszczylowski , yahiko kambayashi",vldb,1995
390,the nimble integration engine,"daniel s. weld , alon y. halevy , denise draper",sigmod conference,2001
401,winmagic : subquery elimination using window aggregation,"qi cheng , hamid pirahesh , linqi liu , kwai wong , wenbin ma , calisto zuzarte",sigmod conference,2003
409,unrolling cycles to decide trigger termination,"tok wang ling , sin yeung lee",vldb,1999
412,shore : combining the best features of oodbms and file systems,shore team,sigmod conference,1995
413,zoo : a desktop experiment management environment,"miron livny , yannis e. ioannidis , nagavamsi ponnekanti , shivani gupta",vldb,1996
429,panel : is generic metadata management feasible ?,"gio wiederhold , erhard rahm , matthias jarke , laura m. haas , philip a. bernstein",vldb,2000
431,"scalable feature selection , classification and signature generation for organizing large text databases into hierarchical topic taxonomies","prabhakar raghavan , byron dom , rakesh agrawal , soumen chakrabarti",vldb j.,1998
445,safe stratified datalog with integer order does not have syntax,"alexei p. stolboushkin , michael a. taitslin",acm trans . database syst .,1998
446,data analysis and mining in the life sciences,nam huyn,sigmod record,2001
448,report on the first international workshop an efficient web-based information systems,"omar boucelma , zoé lacroix",sigmod record,2003
451,calls for papers / announcements,?,sigmod record,1994
457,supersql : an extended sql for database publishing and presentation,motomichi toyama,sigmod conference,1998
468,chain : operator scheduling for memory minimization in data stream systems,"brian babcock , shivnath babu , rajeev motwani , mayur datar",sigmod conference,2003
472,reminiscences on influential papers,"hector garcia-molina , patricia g. selinger , tomasz imielinski , david maier , jeffrey d. ullman , richard t. snodgrass",sigmod record,1998
497,lockx : a system for efficiently querying secure xml,"sungran cho , laks v. s. lakshmanan , divesh srivastava , sihem amer-yahia",sigmod conference,2003
515,using probabilistic information in data integration,"alon y. levy , daniela florescu , daphne koller",vldb,1997
518,integrated document caching and prefetching in storage hierarchies based on markov-chain predictions,"achim kraiss , gerhard weikum",vldb j.,1998
519,report on the nsf workshop on building an infrastructure for mobile and wireless systems,"ouri wolfson , s. a. m. makki , kia makki , charles e. perkins , birgitta könig-ries , peter l. reiher , niki pissinou , peter scheuermann , jari veijalainen",sigmod record,2002
523,editor 's notes,ling liu,sigmod record,2002
524,the lham log-structured history data access method,"gerhard weikum , patrick e. o'neil , peter muth , achim pick",vldb j.,2000
531,information retrieval from an incomplete data cube,curtis e. dyreson,vldb,1996
553,toward network data independence,joseph m. hellerstein,sigmod record,2003
555,the lowell report,"hans-jörg schek , michael stonebraker , jim gray , jeffrey d. ullman",sigmod conference,2003
586,managing business processes via workflow technology,frank leymann,vldb,2001
591,dynamic service matchmaking among agents in open information environments,"matthias klusch , katia p. sycara , seth widoff , jianguo lu",sigmod record,1999
592,open issues in parallel query optimization,"waqar hasan , patrick valduriez , daniela florescu",sigmod record,1996
610,efficient optimistic concurrency control using loosely synchronized clocks,"barbara liskov , atul adya , robert gruber , umesh maheshwari",sigmod conference,1995
623,learning to match ontologies on the semantic web,"jayant madhavan , robin dhamankar , alon y. halevy , pedro domingos , anhai doan",vldb j.,2003
624,ansi sql hierarchical processing can fully integrate native xml,michael m. david,sigmod record,2003
625,the adabas buffer pool manager,harald schöning,vldb,1998
