id,name,addr,city,phone,type,class
0,` arnie morton \ 's of chicago ',' 435 s. la cienega blv . ',` los angeles ',310/246 -1501,american,0
9,` grill on the alley ',' 9560 dayton way ',` los angeles ',310/276 -0615,american,9
15,` the palm ',' 9001 santa monica blvd. ',` los angeles ',310/550 -8811,american,15
17,` philippe \ 's the original ',' 1001 n. alameda st. ',` los angeles ',213/628 -3781,american,17
20,spago,' 1114 horn ave. ',` los angeles ',310/652 -4025,californian,20
26,` cafe lalo ',' 201 w. 83rd st. ',` new york ',212/496 -6031,` coffee bar ',26
28,` carmine \ 's ',' 2450 broadway between 90th and 91st sts . ',` new york ',212/362 -2200,italian,28
43,lespinasse,' 2 e. 55th st. ',` new york ',212/339 -6719,american,43
48,` mi cocina ','57 jane st. off hudson st. ',` new york ',212/627 -8273,mexican,48
50,oceana,'55 e. 54th st. ',` new york ',212/759 -5941,seafood,50
59,seryna,'11 e. 53rd st. ',` new york ',212/980 -9393,asian,59
61,` sign of the dove ',' 1110 3rd ave. at 65th st. ',` new york ',212/861 -8080,american,61
63,` tavern on the green ',` in central park at 67th st. ',` new york ',212/873 -3200,american,63
68,` coyote cafe ',' 3799 las vegas blvd. s ',` las vegas ',702/891 -7349,southwestern,68
71,` second street grille ',' 200 e. fremont st. ',` las vegas ',702/385 -3232,seafood,71
75,bacchanalia,' 3125 piedmont rd. . near peachtree rd. ',atlanta,404/365 -0410,international,75
81,` georgia grille ',' 2290 peachtree rd. . peachtree square shopping center ',atlanta,404/352 -3517,american,81
83,` heera of india ',' 595 piedmont ave. rio shopping mall ',atlanta,404/876 -4408,asian,83
84,` indigo coastal grill ',' 1397 n. highland ave. ',atlanta,404/876 -0676,caribbean,84
89,` cafe ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,` ext 6108 international ',89
90,` dining room ritz-carlton buckhead ',' 3434 peachtree rd. ',atlanta,404/237 -2700,international,90
96,boulevard,' 1 mission st. ',` san francisco ',415/543 -6084,american,96
98,` campton place ',' 340 stockton st. ',` san francisco ',415/955 -5555,american,98
100,` fleur de lys ',' 777 sutter st. ',` san francisco ',415/673 -7779,french,100
101,fringale,' 570 4th st. ',` san francisco ',415/543 -0573,french,101
108,` plumpjack cafe ',' 3201 fillmore st. ',` san francisco ',415/563 -4755,mediterranean,108
109,postrio,' 545 post st. ',` san francisco ',415/776 -7825,american,109
111,` rose pistola ',' 532 columbus ave. ',` san francisco ',415/399 -0499,italian,111
112,bolo,'23 e. 22nd st. ',` new york ',212/228 -2200,mediterranean,191
114,remi,' 145 w. 53rd st. ',` new york ',212/581 -4242,italian,334
120,` broadway deli ',' 3rd st. promenade ',` santa monica ',310/451 -0616,american,117
