id,title,authors,venue,year
3,the burden of infectious disease among inmates and releasees from correctional facilities,"tm hammett , p harmon , w rhodes",see,
8,"f. , diene , aw , ndiaye , y. hachage linã © aire scalable et distribuã © lh * lh sous windows nt",f bennour,"res . rep. ceria , u. paris ,",
16,a database index to large biological sequences,"e hunt , mp atkinson , rw irving",,
47,unitary representations realized in l 2-sections of vector bundles over semi-simple symmetric spaces,t kobayashi,proc . of the 27-28th symp . of funct . anal . and real anal . (,
48,dimethyl ether ( dme ) spray characteristics in a common-rail fuel injection system .,j yu,"proceedings of the institution of mechanical engineers d , & hellip ; ,",2003.0
49,"crypt breakerâ ?? s workbench users manual , ''",rw baldwin,"mit laboratory for computer science ( october 1986 ) , unpublished",
55,"qualitative â ?? â ?? versusâ ?? â ?? quantitative methods in social research , dept of sociology , u",t wilson,"california at santa barbara ,",
65,detection of change-points in nonparametric regression,pl speckman,"unpublished manuscript ,",1994.0
77,new chance : implementing a comprehensive program for teenage parents and their children,"j quint , b fink , s rowser",,1991.0
80,genetic-algorithm programming environments,"jlr filho , pc treleaven , c alippi",,
81,interactive med . 3d-simulations by means of stereoscopy and standard hardware,"h wã ¶ rn , j mã 1/4 hlingâ ? ¦","rechner-u . sensorgestã 1/4 tzte chirurgie-procs , gi ,",
90,algebraic attacks on combiners with memory,"f armknecht , m krause",,
96,on modelling behavloural semantics of data,m brodm,"proc 7th int &#39; l conf vldb ,",
112,"when gulliver travels : social context , psychological closeness , and self-appraisals","jd brown , nj novick , ka lord , jm richards","journal of personality and social psychology ,",
135,multimedia miner : a system prototype for multimedia data mining,", j han , sh chee , jy chiang","proceedings of acm-sigmod international conference on & hellip ; ,",1998.0
144,a data warehouse intelligent cache manager [ c ],p schenermannâ ? ¦,"proc of the 22nd vldb conf ,",
146,the velocity of sound below 1 k,"kr atkins , dv osborne","phil . mag ,",
152,urban watershed gis models for neighborhood environmental education . 1997 acsm/asprs annual,"cj van zee , p hayes","seattle , washington , april ,",
159,genera crustaceorum et insectorum,pa latreille,"tomus i ,",
174,address compression through base register caching,"a park , m farrens",,
183,dolphin : integrated meeting support across local and remote desktop environments and liveboards,"na streitz , j geiã?ler , jm haake , j hol","proceedings of the 1994 acm conference on computer supported & hellip ; ,",1994.0
191,report on the 18th british national conference on databases ( bncod ),"c goble , b read","sigmod record ,",2002.0
193,traces of the spirit : the religious dimensions of popular music,r sylvan,,1998.0
202,extracting structured data from web pages,"a arasu , h garcia-molina",,
206,comparison of systems with complex behavior,"i mezic , a banaszuk",,
217,presynaptic localization of sodium/calcium exchangers in neuromuscular preparations,"pw luther , rk yip , rj bloch , a ambesi , ge",,
224,enforcing modeling guidelines in an ordbms-based uml repository,"n ritter , hp steiert",,
236,the highly conserved dad1 protein involved in apoptosis is required for n-linked glycosylation,"t makishima , t nakashima , k nagata-kuno , k","genes to cells ,",1997.0
241,optimization of dynamic query evaluation plans,"rl cole , g graefe","proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0
252,introduction to integrated project support environments,p hitchcock,"information and software technology ,",1987.0
254,the remit system for paraphrasing relational query expressions into natural language,bgt lowden,"vldb ,",1986.0
258,the stakeholder approach to evaluation : origins and promise,ch weiss,"new directions for program evaluation ,",1983.0
266,the stimulation of reproduction in coelenterates by low levels of toxic stress .,ard stebbing,"unep , athens ( greece ) . 1991. ,",1991.0
267,contractual types,o nierstrasz,"submitted for publication ,",2003.0
301,a characterization of the bivariate normal-wishart distribution,"d geiger , d heckerman",,
306,the undergraduate curriculum and distance education .,ge miller,"new directions for adult and continuing education ,",1995.0
336,"downsizing in privatized firms in russia , ukraine , and belarus","i filatotchev , t buck , v zukov","academy of management journal ,",2000.0
339,sigcas chair 's message,cd martin,"computers and society ,",
352,er mapper user guide . 922 p,er mapping,"san diego ,",
353,the distribution of electrons among atomic levels,ec stoner,"phil . mag ,",
360,phylip : phylogenetic information package,j felsenstein,"university of washington , seattle ,",
361,experience building the open oodb query optimizer,a joseâ ? ¦,proceedings of acm,
367,the peter norton programmer 's guide to the ibm pc .,p norton,,1985.0
385,evolutionary algorithms,"v kvasnicka , j pospä ± chal , p tino","slovak technical university , bratislava ,",
392,multi-dimensional constrained gradient mining,jmw lam,,2001.0
403,the evolutionof lisp,"gl steele jr , rp gabriel","history of programming languagesâ ?? ii ,",
404,mitochondrial carbonic anhydrase in osteoclasts and two different epithelial acid-secreting cells,"ek karhukorpi , p lakkakorpi , n carter , s dodgson ,","the histochemical journal ,",1992.0
417,components and recognition of facial expression in the communication of emotion by actors,"p gosselin , g kirouac , fy dore","journal of personality and social psychology ,",1995.0
430,the total meridional heat flux and its oceanic and atmospheric partition,c wunsch,"submitted for publication ,",2005.0
434,a psychological taxonomy of trait-descriptive terms : the interpersonal domain,js wiggins,"journal of personality and social psychology ,",
449,usability engineering process model,"t granollers , j lorã © s , f perdrix","integration with software engineering : procs . of hci-intl ,",
460,"4 , 175 , 180 , 203 amniosenosa , 204 cell migrations , 175 bonder cells , 179 , 180 hemocytes , 176 pgc",i drosophila,,
461,fuse : lightweight guaranteed distributed failure notification,"j dunagan , nja harvey , mb jones , d kostic , m","submitted for publication ,",2004.0
473,interventions to help external cephalic version for breech presentation at term,gj hofmeyr,"cochrane database syst rev ,",2004.0
474,hydrology and hydraulic systems . 2 ndedition waveland press inc. ; 867pp,rs gupta,,2001.0
475,bio-ajax : an extensible framework for biological data cleaning,ch wuq,"sigmod record ,",2004.0
498,simple : a methodology for programming high performance algorithms on clusters of symmetric,"da bader , j jã ¡ jã ¡","md ,",
503,deconstructing the internet using vugh,o martin,"proceedings of vldb ,",
506,linear clustering of objects with multiple attributes,hvj jag901,"proceedings of acm sigmod ,",2001.0
509,principles of peptide synthesis,m bodanszky,,1993.0
511,contrastplotsandp-sphere trees : space vs. time in nearest neighbour searches,rr goldsteinj,"& hellip ; of the very large data bases ( vldb ) conference , cairo , egypt ,",
516,autosegmental phonology,ja goldsmith,,
519,"atomic energy research establishment report no . tp 232 ( revised ) , harwell , england ( unpublished )","im boswarva , ab lidiard","phil . mag ,",
527,crime in greece in perspective,cd spinellis,,1997.0
553,"linking learning , teaching , and development","m fiddler , c marienau","new directions for adult and continuing education ,",1995.0
560,partnership is the secret of progress,v ford,people,
567,of pilgrims and turkey : a look at thanksgivings past and present . teacher 's roundtable .,c sage,"social studies and the young learner ,",1993.0
568,strudel : a web-site management system,"m fernandez , j kang , a levy , d suciu",,
583,risk and protective factors among youth offenders,"mb carr , ta vandiver","adolescence-san diego - ,",2001.0
587,aries/im : an efficient and high concurrency index management method using write-ahead logging,c mohan,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",1992.0
601,"90 wb frakes , pb gandel , representing reusable software",f gandel,"information and software technology ,",
614,"out of the depths , an autobiographical study of mental disorder and religious experience .",at boisen,,1960.0
619,ultrastructural studies on stomatal development,b galatis,,1974.0
625,sensory stimulation for brain injured individuals in coma or vegetative state,"f lombardi , m taricco , a de tanti , e telaro , a","cochrane database syst rev ,",2002.0
646,effective memory use in a media server ( extended version ) . stan-ford technical report sidl-ivp -,"e chang , h garcia-molina",,1996.0
663,is splitting focal attention mediated by exogenous orienting of attention,l macdonald,"unpublished manuscript ,",
675,participation in the iczm processes : mechanisms and procedures needed,g king,"& hellip ; study for the european demonstration programme on iczm ,",
678,a conceptual framework for the design of organizational control mechanisms,wg ouchi,"management science ,",1979.0
695,value and productivity in the internet economy,"a barua , ab whinston , f yin",,
701,psychology-uw-milwaukee navigation banner,n on-line,,2005.0
712,"orderable dimensions of visual texture for data display : orientation , size and contrast","c ware , w knight",,
725,"sands , the feynman lectures on physics",l feynman,volume,
726,issues relating to extension of the basic linear algebra subprograms,ds dodson,,
732,"neural networks for identification , prediction , and control","dt pham , x liu",,1995.0
765,adiabatic invariants and the theory of quanta,p ehrenfest,"phil . mag ,",
767,reference reconciliation in complex information spaces,"x dong , a halevy , j madhavan",,
773,application of head-mounted display to radiotherapy treatment planning,jc chung,proceedings acm,
786,"plasma etching , an introduction 1academic","dm manos , dl flamm","san diego ,",
789,the forcing geodetic number of a graph,"g chartrand , p zhang","discussiones mathematicae graph theory ,",1999.0
809,efficient peer-to-peer keyword searching . february 2002,"p reynolds , a vahdat",unpublished,
812,analyzing blood cell image to distinguish its abnormalities ( poster session ),"ks kim , pk kim , jj song , yc park","proceedings of the eighth acm international conference on & hellip ; ,",2000.0
823,common expression analysis in database applications,s finkelstein,"proceedings of the 1982 acm sigmod international conference & hellip ; ,",1982.0
826,double dissociation between implicit and explicit personality self-concept : the case of shy behavior,"jb asendorpf , r banse , d mucke","journal of personality and social psychology ,",2002.0
