id,title,authors,venue,year
10,linear algebra and its applications harcourt brace jovanovich,g strang,"san diego ,",
20,the family transition program : implementation and interim impacts of floridaâ ?? s initial time -,"d bloom , m farrell , jj kemple , n verma",,
23,survival skills for graduate school and beyond,"ba fischer , mj zigmond","new directions for higher education ,",1998.0
27,on a stochastic optimization algorithm using ipa which updates after every customer,"ekp chong , pj ramadge","proc . 28th allerton conf . on communication , control , and & hellip ; ,",
33,an empirical review of price behaviour on the internet,h riquelme,"electronic markets ,",2001.0
45,load balancing in dynamic structured p2p systems,ssy patel,,
58,internal and external motivation to respond without prejudice,"e ashby plant , pg devine","journal of personality and social psychology ,",1998.0
68,"visualization , optimization , and business strategy","dl gresh , ei kelton","d. gresh , e. kelton , proceedings , ieee visualization ,",
75,hierarchical and variation geometric modeling with wavelets . in proceedings of the 1995 symposium on,"sj gortler , mf cohen",,1995.0
79,hardware and system architecture for a very large database,"r healey , b heckman","vldb ,",1975.0
91,congenital diaphragmatic hernia-morgagni type,"l sinclair , bl klein","journal of emergency medicine ,",1993.0
99,what are the national regimes and local traditions of social welfare and their historical derivation,r greca,,1995.0
109,on the design of a distributed query processing algorithm,"ct yu , c chang , m templeton , d brill , e lund",proceedings of the acm-sigmod international conference on,
113,list of acronyms,anxan exchange,"bt technology journal ,",2001.0
114,"survey of job shop scheduling techniques , nistir , national institute of standards and technology ,","a jones , lc rabelo","md ,",
117,code compression,"j ernst , w evans , cw fraser , ta proebsting , s","proceedings of the acm sigplan 1997 conference on & hellip ; ,",1997.0
120,pan-browser support for annotations and other meta-information on the world wide web,"ma schickler , ms mazer , c brooks","www5 / computer networks ,",1996.0
130,waiting times for stationary processes,"i kontoyiannis , a recurrence","technical report no. 92 , stanford university , july",
140,inside visual c++,jk david,,1996.0
150,"learning plateaus in generalized cognitive condensations : phase transition , path dependence and","r wallace , r fullilove",,2001.0
155,imaging of layered structures in biological tissues with opto-acoustic front surface transducer,"aa karabutov , ev savateeva , aa oraevsky","proc . spie ,",1999.0
158,electron microscopy and diffraction of twinned structures in evaporated films of gold,"dw pashley , mj stowell","phil . mag ,",
161,ethical decision making in organizations : a person-situation interactionist model,lk trevino,"the academy of management review ,",1986.0
166,nsf workshop on industrial/academic cooperation in database systems,"m carey , l seligman","sigmod record ,",1999.0
169,evaluation of local detectors on non-planar scenes,"f fraundorfer , h bischof",,
179,efficient transparent application recovery,"d lomet , g weikum",client-server information systems .,
182,"predatory behavior of grizzly bears feeding on elk calves in yellowstone national park , 1986-88","sp french , mg french","international conference on bear research and management ,",
205,"introduction to combinatorics , pg . 82 , 1996",mj erickson,,
208,effect of drive train and fuel control design on helicopter handling qualities,g guglieri,"european rotorcraft forum , 25 th , rome , italy , proceedings. ,",1999.0
215,link prediction approach to collaborative filtering,"z huang , x li , h chen",,
218,academic press,"eb davies , op semigroups","san diego ,",
225,audit and feedback : effects on professional practice and health care outcomes,"g jamtvedt , jm young , dt kristoffersen , o thomson ,","cochrane database syst rev ,",2003.0
235,the 3d resurf double-gate mosfet : a revolutionary power device concept,"f udrea , a popescu","electronic letters ,",1998.0
237,e-business models,r trombly,"computerworld ,",
245,provably secure coin flip in a byzantine environment,"s awerbuch , b chor , s goldwasser , s micali",,1985.0
265,i2i trust in e-commerce,"js olson , gm olson","communications-acm ,",2000.0
295,a multimedia presentation algebra,"s adalä ± , ml sapino , vs subrahmanian","sigmod ,",1999.0
297,hits and miss-es : a year watching the web,j graham-cumming,"www6 / computer networks ,",1997.0
303,o-linked oligosaccharide on igal hinge region in iga nephropathy . fundamental study for precise,"y hiki , a horii , h iwase , a tanaka","contributions to nephrology ,",1995.0
315,australian women in it,"l von hellens , s nielsen","communications-acm ,",2001.0
327,discrete subgroups of semisimple lie groups,ga margulis,,1991.0
329,hierarchical dynamic router,"k kawamura , m umeda , h shiraishi","proceedings of the 23rd acm/ieee conference on design & hellip ; ,",1986.0
341,"irrigation management transfer in nigeria : a case ofâ ® financial sustainability for operation ,",ik musa,"international conference on irrigation management transfer ,",
362,a survey of distributed deadlock detection algorithms,ak elmagarmid,"acm sigmod record ,",1986.0
364,self-similarity in the web . 2 : 205â ?? 223,"s dill , r kumar , ks mccurley , s rajagopalan , d",,2002.0
377,fast ion dynamics in textor measured by collective thomson scattering,"h bindslev , l porte , ja hoekzema , d van eester , a",,
378,a new solid subdivision scheme based on box splines,"ys chang , kt mcdonnell , h qin","proceedings seventh acm symposium on solid modeling and & hellip ; ,",2002.0
380,influence of gaps and neighbouring plants on seedling establishment in limestone grassland,p ryser,"experimental field studies in northern switzerland . zurich . & hellip ; ,",
384,the adabas buffer pool manager,h schoning,,
390,vancomycin for prophylaxis against sepsis in preterm neonates,"ap craft , nn finer , kj barrington","cochrane database syst rev ,",2000.0
393,determining computable scenes in films and their structures using audio-visual memory models,"h sundaram , sf chang",,
416,wireless lans at risk,c ellison,"pc magazine april ,",
420,selenium as an antiviral agent,ma beck,"see ref ,",
424,foundations of theoretical mechanics,rm santilli,,1984.0
432,translight : a global-scale lambdagrid for e-science,"t defanti , c de laat , j mambretti , k neggers","communications-acm ,",2003.0
446,cross-cultural field study .,j duley,"new directions for higher education ,",1974.0
447,geopolitics and discourse : practical geopolitical reasoning in american foreign policy,ã ? tuathail,"political geography ,",
448,diagnosis for wiring interconnects,"wt cheng , jl lewandowski , e wu",,
456,effects of an intervention programme for improved discharge-planning,"c haeggmark , b nilsson","vard i norden ,",1997.0
476,"treatment of osteoarthritis with celecoxib , a cyclooxygenase-2 inhibitor : a randomized controlled","wg bensen , jj fiechtner , ji mcmillen , ww zhao , ss","mayo clinic proceedings ,",1999.0
477,sane development and operation guide,le ledray,"journal of emergency nursing ,",1998.0
480,comparing hierarchical data in external memory . university of maryland,ss chawathe,proceedings of the 25th vldb conference,
496,a majority consensus approach to concurrency control for multiple copy databases,rh thomas,"acm transactions on database systems ,",1979.0
499,integrating association rule mining with relational database systems : alternatives and implications /,"s sarawagi , s thomas , r agrawal","san jose , california , usa , marz ,",
500,human t-cell lymphotrophic virus type-i ( htlv-i ) retrovirus and human disease,"dj bentrem , ee mcgovern , ml hammarskjoeld , rf","journal of emergency medicine ,",1994.0
513,av/stol ground effects test facility,"tm evans , jm cooksey","& hellip ; symposium , 25 th , anaheim , calif , proceedings . part 1 ,",1979.0
523,anderson pw and palmer rg 1977,dj thouless,phil .,
528,apj,"rm light , r lynds , ej oã?neil jr",,1998.0
534,covariance selection and estimation via penalized normal likelihood,"jz huang , n liu , m pourahmadi","unpublished manuscript ,",2005.0
542,arvind . id nouveau . csg memo 265,"rs nikhil , k pingali",,1986.0
554,having h-space structure is not a generic property,p jianzhong,,
563,j. oral laser appl,"m strassl , a kasenbacher , e wintner",at,
576,guaranteeing delay jitter bounds in packet switching networks,"d verma , h zhang , d ferrari","proceedings of tricomm ,",
582,the digital doorkeeper ' -- automatic face recognition with the computer .,"jl nettles , aj witsmeer , p seitz , m bichsel","proceedings 25 th annual 1991 ieee international carnahan & hellip ; ,",1991.0
585,the role of athletics in student development .,n sanford,"new directions for higher education ,",1973.0
599,living in the feudalism of adult basic and literacy education : can we negotiate a literacy democracy,ba quigley,"new directions for adult and continuing education ,",2001.0
604,the photoelectric effect,"ow richardson , kt compton","phil . mag ,",
617,transition to a unified system : using perl to drive library databases and enhance web site,jc fagan,"electronic library ,",2001.0
621,slab : a software-based real-time virtual acoustic environment rendering system .,jd miller,,
633,pflanzensoziologie.â ?? springer verlag,j braun-blanquet,"wien , at ,",
640,finding hierarchical heavy hitters in data streams,"g cormode , d srivastava","proceedings of the international conference on very large & hellip ; ,",2003.0
642,first-year impacts,p patterns,new york : manpower,
664,primitives for workload summarization and implications for sql,"s chaudhuri , p ganesan , v narasayya","proceedings of the international conference on very large & hellip ; ,",2003.0
674,information management for gaze control in vision guided biped walking,jf seara,,
686,studies on primary hyperoxaluria,"ew frederick , mt rabkin , rh richie , lh smith","vivo demonstration of a defect in glyoxylate metabolism . n & hellip ; ,",
691,transformational morphology of the greek noun,a malikouti-drachman,"athens , greece ,",
706,unskilled and unaware of it : how difficulties in recognizing oneâ ?? s own incompetence lead to,"j kruger , d dunning","journal of personality and social psychology ,",1999.0
720,tuple routing strategies for distributed eddies,"f tian , dj dewitt","vldb ,",2003.0
749,theory of dielectrical optical waveguides,d marcuse,"academic , san diego ,",
772,guest editor 's introduction : user interfacesâ ¿ opening a window on the computer,d hix,"ieee software ,",1989.0
780,"calculation and mapping of critical loads in europe , status report 1993 , rivm report 259101003","rj downing , jp hetteling , pam de smet",,
782,animal models to study escherichia coli o157 : h7 isolated from patients with haemorrhagic colitis,", me potter , lw riley , tj barrett , pa blake , ca","lancet i ,",1983.0
785,ã cents â ? ¬ å?dynamic voting . ã cents â ? ¬ â ? in proc,"s jajodia , d mutchler",,
788,varbrul programs,s pintzuk,"unpublished manuscript ,",
793,conclusion : what have we learned ?,wb elley,"international journal of educational research ,",2001.0
796,test challenges for deep sub-micron technologies,"tc kwang , d sujit","proc 37th acm/ieee dac ,",
822,children 's literature .,af gallagherâ ? ¦,"social studies and the young learner ,",1993.0
828,adding database management to ada,pav hall,"acm sigmod record ,",1983.0
836,secure online 3d human body database,"a ruto , b buxton , i mirkin , c goonatilake","procs of scanning ,",
844,"physiology and biochemistry of seeds in relation to germination . vol . 2 , viability , dormancy , and","jd bewley , m black",,1982.0
846,v-blast : an architecture for realizing very high data rates over the rich-scattering wireless,"pw wolniansky , gj foschini , gd golden , ra",,
847,experiments on production of intense proton beams by charge exchange injection method .,"gi budker , gi dimov , vg dudnikov","at . energ ,",1967.0
862,distributed-memory model checking with spin,"f lerda , r sisto","lecture notes in computer science ,",1999.0
863,the alpha adrenoceptors on endothelial cells,"ja angus , tm cocks , k satoh","fed proc ,",1986.0
882,cost minimization allocation ( cma ) algorithm,i chong,"technical report , univ. of massachusetts ,",
894,an accurate and efficient gate level delay calculator for mos circuits,"fc chang , cf chen , p subramaniam","design automation conference , 1988 . proceedings. , 25th acm / & hellip ; ,",1988.0
906,semantics of recursive relationships in entity-relationship model,hk lee,"information and software technology ,",1999.0
908,sil : modeling and measuring scalable peer-to-peer search networks,"bf cooper , h garcia-molina","lecture notes in computer science ,",2004.0
909,physically modelling the acoustics of a room using a digital waveguide mesh,"dt murphy , dm howard",proceedings of the 25 theuromicro,
911,enkephalin-and serotonin-like immunoreactivity in the aortico-pulmonary paraganglia of the white -,"h gobbi , aja barbosa , jc nogueira , jm polak , vpa","the histochemical journal ,",1992.0
942,two-phase deadlock detection algorithm in distributed databases,"s kawazu , s minami , k itoh , k teranaka","very large data bases , 1979 . fifth international conference & hellip ; ,",1979.0
945,reading street names from maps-technical challenges,"g nagy , a samal , s seth , t fisher , e guthmann , k","procs . gis/lis conference , cincinnati , oh ,",
951,a dual wm/fp system,d kirovskiâ ? ¦,"technical report no . msr-tr-2001-57 , microsoft research ,",
954,differential analysis on manifolds with corners,rb melrose,,
957,models of light reflection for computer synthesized pictures,jf blinn,"acm siggraph computer graphics ,",1977.0
973,challenges for spoken dialog systems,jr glass,,1999.0
976,a mediator system for model-based information integration,"b ludã $ scher , a gupta , m martone",int . conf .,
981,responding to journals in a learning process,tj fenwick,"new directions for adult and continuing education ,",2001.0
982,shifting factors and the ineffectiveness of third party assurance seals : a two-stage model of,"dh mcknight , cj kacmar , v choudhury","electronic markets ,",2004.0
986,wen mei w. hwu . modular interprocedural pointer analysis using access paths,bc cheng,"proc . acm pldi ,",
996,a query language for a homogeneous temporal database,"sk gadia , jh vaishnav","proceedings of the fourth acm sigact-sigmod symposium on & hellip ; ,",1985.0
1003,"anti-self dual lagrangians ii : unbounded non self-adjoint operators and evolution equations , ( 2005 )","n ghoussoub , l tzou",,
1010,determination of the content of uranium isotopes and isotopes of transuranium elements in spent fuel,"v ya , aaz gabeskiriya , vv mikulenokâ ? ¦",at .,
1013,concurrentuseofb-treeswith variable-length entries,wg kelleram,"sigmod rec ,",
1020,andr . ladin . organizinglongrunning activities with triggers and transactions,"u dayal , m hsu","proceedings of the acm sigmod ,",
1028,strategic informative advertising in a tv-advertising duopoly,"t nilssen , l sã ¸ rgard",,2000.0
1038,introduction to lie algebras and representation theory [ m ],je humphreys,"new york ,",
1046,chord : a sclable peerto-peer lookup service for internet applications,"i stoica , r morris , d karger , mf kaashoek , h",proc . acm,
1069,designing an efficient and scalable server-side asynchrony model for corba,"d brunsch , dc schmidt",,
1083,strategies and resources for enhancing mentoring relationships .,lm golian,"new directions for adult and continuing education ,",1995.0
1135,a vision driven automatic assembly unit : robust bin picking,"g bachler , m berger , r rohrer , s scherer , a pinz",,
1142,an index structure for efficient reverse nearest neighbor queries,"c yang , ki lin",,
1145,casinos hit jackpot with customer data,k nash,"computerworld ,",
1149,interventions for varicosities and leg oedema in pregnancy,"gl young , d jewell","cochrane database syst rev ,",2000.0
1154,a uniqueness result concerning a robust regularized least-squares solution,"ah sayed , h chen",submitted for,
1181,determining text databases to search in the internet,"kll weiyi meng , c yu , x war & , nr yuhsi chang",,
1204,teaching and learning about other countries : generic activities for any country .,"g decoker , m roche","social studies and the young learner ,",1990.0
1210,web-based casinos are beating the odds,k nash,,
1212,evidence and possible causes,w traffic,proc . acm,
1213,"standards in practice , grades k-2",lk crafton,,
1214,closure of the nuclear fuel cycle : valence of actinides and safety,"vm poplavskii , vi matveev , ns rabotnov",at .,
1217,an empirical analysis of information sytems changes,j heales,"proceedings of the international conference on information & hellip ; ,",1995.0
1224,over half of the women on public assistance in washington reported physical and sexual abuse as,"p roper , g weeks","seattle : washington state institute for public policy ,",
1227,power-aware virtual base stations for wireless mobile ad hoc communications,"a safwat , h hassanein , h mouftah","computer networks ,",2003.0
1229,business networking in the swatch group,r alt,"electronic markets ,",1999.0
1243,loop fusion for clustered vliw architectures,"y qian , s carr , p sweany",,
1244,asymptotic analysis for a two-scales penalization method in fluid dynamics,g carbou,,
1248,ignition and extinction of homogeneousâ ?? heterogeneous combustion : ch 4 and c 3 h 8 oxidation on pt,"x song , wr williams , ld schmidt , r aris","proceedings of the 23rd international symposium on & hellip ; ,",
1255,management information systems towards the new economy : the new digital enterprise,sp anastasiades,"alfa scientific books editions , athens , greece",
1257,the complexity-extremity effect and age-based stereotyping,pw linville,"journal of personality and social psychology ,",
1279,noaa air resources laboratory : silver spring,"rr draxler , gd rolph","md ,",
1290,admissible orders and linear forms,portal.acm.org,,
1349,"on database integration over intelligent networks naphtali rishe , jun yuan , jinyu meng , shu-ching",n rishe,,
1354,"variations in the concentrations of pu-239 , 240 in children 's teeth removed for orthodontic purposes","sc long , pi mitchell , tp ryan , nd priest","proceedings of the 23rd annual meeting of the european & hellip ; ,",
1379,"propositional attitudes , commonsense reasoning , and metaphor",ja barnden,"procs . 10th annual conference of the cognitive science & hellip ; ,",
1386,database management for life sciences research,"hv jagadish , f olken","sigmod record ,",2004.0
1399,"essentials of business environment , 2nd",k aswathappa,,1991.0
1400,on some principles of grammaticization,pj hopper,"approaches to grammaticalization ,",1991.0
1404,toward the construction of customer interfaces for cyber shopping malls-hci research for electronic,j kim,,
1405,coordination in software agent systems,"hs nwana , l lee , nr jennings","bt technology journal ,",1996.0
1409,learning golf under different goal conditions : their effects on irrelevant thoughts and subsequent,"e thill , f cury , d bryche",,
1410,the effective of gloss for the text database discovery problem,"hgoms luisgravano , a tomasic","proc . of the acm sigmod conference , acm sigmod record ,",
1413,ode ( object database and environment ) : the language and the data model,"r agrawal , nh gehani",,
1422,"w. mckenna and g. graefe , expersiences building the opern oodb query optimizer",j balkeley,"proc . acm sigmod ,",
1423,368 pp . $ 34.95,r press,,2004.0
1427,a competitive edge in collaborative work ; project management tool uses web-based collaboration to,ah johnson,,
1437,"donâ ?? t be lazy , be consistent","b kemme , g alonso",,2000.0
1463,geometrische beweise mit dem pc,a engel,"proceedings of derive days d usseldorf ,",
1465,imaging of turbulent mixing by laser induced fluorescence and its application to velocity and,s deusch,,1998.0
1472,"etal. , prospector : a content-based multimedia object server for massively parallel architectures","woâ ?? connell , it ieong , d schrader","proceedings of the acm sigmod conference on management of & hellip ; ,",
1473,handbook of capillary electrophoresis,jp landers,,1997.0
1481,universal standardization of bone density measurements : a method with optimal properties,"sl hui , s gao , xh zhou , cc johnston , y lu , cc",,1996.0
1508,application of wavelet packets algorithm to diesel engines ' vibroacoustic signature extraction,"j zou , j chen , zm geng","proceedings of the i mech e part d journal of automobile & hellip ; ,",2001.0
1516,grading student performance in real-world settings,"pa scanlon , mp ford","new directions for teaching and learning ,",1998.0
1527,success acts for managers,"wm williams , rj sternberg","unpublished manuscript ,",
1539,the kdb-tree a search structure for large multldlmenslonal dynamic indexes,jt robmsonsla robinson,"proc acmsigmod , pp l & 18 ,",
1575,a compilation-based software estimation scheme for hardware/software co-simulation,"m lajolo , m lazarescu , a sangiovanni-vincentelli",,
1577,a 28 ghz gyrotron with a permanent magnet system for industry applications,"h asano , k kikunaga , k hemmi , f sato , t tsukamoto","proc . 21st int . conf . on infrared and millimeter waves , & hellip ; ,",
1580,efficient algorithms for processing xpath queries . extended version,"g gottlob , c koch , r pichler","proc . of the 28th international conference on very large & hellip ; ,",
1581,technology alone no match for security risks,s van dijk,"computerworld ,",
1582,guarding the data warehouse gate,d radcliff,"computerworld ,",
1588,the presentation of tetanus in an emergency department-tetanus,"so henderson , t mody , de groth , jj moore , e newton","journal of emergency medicine ,",1998.0
1595,an investigation of age and gender differences in physical self-concept among turkish late,"adolescence-san diego - , 2002",,2002.0
1601,epese composite measures and other commonly used measures : description and documentation of original,r landerman,"unpublished manuscript ,",
1603,ten steps to a secure wireless network,k karagiannis,"pc magazine ,",
1616,providing vcr capabilities in large-scale video servers,"jk dey-sircar , jd salehi , jf kurose , d towsley","proceedings of the second acm international conference on & hellip ; ,",1994.0
1623,comparison of some aspects of bolting mechanisms between fully-grouted resin and tensioned bolts in,"a yassien , yq zhang , js han , ss peng","proc . 21st int &#39; l conference on ground control in mining ,",
1652,the basic dilemma : sovereignty or assimilation,"t schouls , j olthuis , d engelstad",nation,
1654,preisach modeling and compensation for smart material hysteresis,"d hughes , jt wen","proc . spie ,",1995.0
1658,computing pagerank in a distributed internet search engine system,"y wang , d dewitt","proc . of vldbâ ?? 04 conf ,",
1661,is thyrotoxic periodic paralysis a '' channelopathy '' ?,ej gallagher,"journal of emergency medicine ,",1999.0
1664,dynamically reconfigurable coprocessor for network processors,"e maehle , c albrecht , r hagenau","proc . work in progress session , 29th euromicro conference & hellip ; ,",
1676,i. announcements,"ii business , iiip items",,2002.0
1695,improving quality-of-control using flexible timing constraints : metric and scheduling issues,"p marti , j fuertes , g fohler , k ramamritham",proceedings of the 23rd ieee real-time systems symposium (,
1701,language and freedom,n chomsky,"abraxas , i ,",
1703,theory of communication,"t fukuda , y morimoto , s morishita , t tokuyama","acm transactions on database systems ,",
1719,r * optimizer validation and performance for distributed queries,"l mackert , g lohman","proc . of intl. conf . on vldb ,",
1726,the erosion of federal program evaluation,hs havens,"new directions for program evaluation ,",
1732,designing filters for polyphase filter banks,"jh lee , wj kang",,
1733,andr . das . interprocedural partial redundancy elimination and its application to distributed,"g agrawal , j saltz",proc . acm,
1741,civil military interaction in asia and africa . 1991,"ch kennedy , dj louscher",,
1745,scientific staff,bw olesen,,2006.0
1756,status report,b cabrera,"technical report , stanford university , october",
1765,an empirical evaluation of lfg-dop,r bod,"proceedings coling-2000 ,",2000.0
1781,comments on some new caledonian freshwater fishes of economical and biogeographical interest,"g marquet , n mary","proceedings of the 5 th indo-pacific fish conference ( noumea , & hellip ; ,",1999.0
1782,metric 3d surface reconstruction from uncalibrated image sequences,"m pollefeys , r koch , m vergauwen , l van gool","lecture notes in computer science ,",1998.0
1804,you just do n't understand : women and men in conversation,d tannen,,
1816,automatic synthesis of specifications from the dynamic observation of reactive programs,"b boigelot , p godefroid","lecture notes in computer science ,",1997.0
1821,"effects of the eastern marmara earthquake on the marine structures and coastal areas , report 3","y yuksel , z alkis , e cevik , ac yalciner alciner , b",,2001.0
1836,facets of babylonia : interpretations of the development of the welfare state in greece,d sotiropoulos,"social policy in greece : challenges and prospects , athens : & hellip ; ,",
1851,integrated multimedia publishing : combining tv and newspaper content on personal channels,"c soedergaard , m aaltonen , s hagman , m hiirsalmi ,","www8 / computer networks ,",1999.0
1854,information literacy at universities : challenges and solutions .,me wiggins,"new directions for higher education ,",1992.0
1879,environmental impact from npk-fertiliser versus anaerobic digestion residue or compost-a systems,"m dalemo , u sonesson , a bjã ¶ rklund",,
1880,"inductive logic programming : derivations , successes and shortcomings",s muggleton,"lecture notes in computer science ,",1993.0
1884,recent bt patents,mi strange,"bt technology journal ,",1999.0
1891,cdd/cdd + reference manual 0.75,k fukuda,"ethz , zurich , switzerland",
1893,the electrical and optical properties of amorphous carbon prepared by the glow discharge technique,da anderson,"phil . mag ,",
1932,fiorina charts hp 's new course,m miller,pc,
1940,automotive test drive cycles for emission measurement and real-world emission levelsâ ?? a review,"s samuel , l austin , d morrey","proceedings of the i mech e part d journal of automobile & hellip ; ,",2002.0
1951,office information models and the representation of ` office objects ',sj gibbs,"acm sigoa newsletter ,",1982.0
1954,the world health organization ( who ) classification of the myeloid neoplasms,"jw vardiman , nl harris , rd brunningâ ? ¦","blood-new york - ,",2002.0
1958,implementing data cubes efficiently [ j ],"v hafinarayan , a rajaraman , jd ullman","sigmod ,",
1959,big retail sap project put on ice,c stemand,,
1981,the proteolytic enzymes of escherichia coli and their subcellular localization,"khs swamy , al goldberg",,1980.0
2003,"teaching analytical reasoning through thinking aloud pair problem solving . je stice ( ed ) , developing","j lochhead , a whimbey",new directions for teaching and,
2005,software quality assurance through prototyping and automated testing,me staknis,"information and software technology ,",1990.0
2015,academic press,"rc elton , x lasers","san diego ,",
2021,"sub hash g. mechanical alloying of w-hf-ti alloys , tungsten refract . met-1994","dg edelman , bj palatka","proc . int . conf , 2nd ,",1995.0
2023,"heat pumps in buildings , hutchinson 1984",afc sherratt,,
2045,a survey of schema-based matching approaches,"p shvaiko , j euzenat",,
2063,shame as the master emotion,"sm retzinger , tj scheff","& hellip ; manuscript , university of california , santa barbara ,",
2067,the efficacy of antidepressants in the treatment of depression in dementia,"j bains , js birks , tr dening","cochrane database syst rev ,",2002.0
2089,robust test generation algorithm for stuck-open fault in cmos circuits,"m weiwei , l xieting","proceedings of the 23rd acm/ieee conference on design & hellip ; ,",1986.0
2092,halbleitertransporttheorie und monte-carlo-bauelementsimulation,"fm bufler , a schenk",,
2094,read-onlytransactionsinadistributeddatabase,"h garcia-molina , g wiederhold","acm transactions on database systems ,",
2101,international networking in long-term ecological research .,"rw nottrott , jf franklin , jr vande castle","seattle ,",
2118,shifting to a work first program for welfare recipients : lessons from los angeles county,e weissman,"new york : manpower demonstration research corporation ,",
2136,field trip roadlog for the bear river landslide complex,"pk link , jb mahoney , j mccalpin , jj henkelman , bl","proceedings of the 23rd symposium on engineering geology and & hellip ; ,",
2141,practical problems in data management : a position paper,j gray,"proceedings of the 1983 acm sigmod international conference & hellip ; ,",1983.0
2143,analysis of bioswale efficiency for treating surface runoff,ww groves,,
2156,the lytic compartment of plant cells,p matile,,1975.0
2158,an approximate max-flow min-cut theorem ibr uniform multicommodity flow problems with applications,"ft leighton , s rae",proc . of 29th focs,
2165,outline form of structure rules provides essentials,p babcock,,
2199,object identification in compressed view-dependent multiresolution meshes,"m grabner , h tschemmernegg","submitted for publication ,",2003.0
2205,proxy servers.â ??,c catalano,"computerworld ,",
2226,architectural issues of transaction management in multi-layered systems,"g weikum , hj schek","vldb ,",1984.0
2230,safety and efficacy of the rapid four-step technique for cricothyrotomy using a bair claw,"dp davis , kj bramwell , rs hamilton , tc chan , gm","journal of emergency medicine ,",2000.0
2231,pathologic changes in charcot-marie-tooth disorders,jw griffin,"see ref ,",
2241,microcomputer playfulness : stable or dynamic trait,"se yager , la kappelman , ga maples , vr prybutok","acm sigmis database ,",1997.0
2246,qpipe : a simultaneously pipelined relational query engine,s harizopoulos,"proc . acm sigmod international conference on management of & hellip ; ,",2005.0
2254,modeling out-of-vocabulary words for robust speech recognition,"i bazzi , j glass",,
2260,arithmetic methods trade off precision for numerical range,"r frisch , b isenstein , s stein",electronic,
2275,rapid composition of domain-specific design environments,"a ledeczi , a bakay , m maroti , p volgyesi , g","ieee computer ,",
2278,control and coordination policies for systems with buffers . in 1989 acm sigmetrics performance,"d mitra , i mitrani","acm press , new",
2283,"benefits assessment , ( isocccrates deliverable 3 ) a report on the isocccrates project , published by","c carter , a thorpe , an baldwin","isbn ,",
2295,"report on the object-oriented database workshop , held in conjuction with oopsla '88","j joseph , s thatte , cw thompson , dl wells","sigmod record ,",
2297,"a moose and a fox can aid scientists with data management problems , 1993","j wiener , y ioannidis",submitted for,
2298,effectiveness of various airway management techniques in a bench model simulating a cardiac arrest,"h ocker , v wenzel , p schmucker , v dorges","journal of emergency medicine ,",2001.0
2299,digital photo browsing with souvenirs,"e van den hoven , b eggen",,
2300,best-effort cache synchronization with source cooperation,"c olston , j widom","sigmod conference ,",2002.0
2314,integrated price and reliability regulation : the european experience,v ajodhia,,
2324,pleurodesis for malignant pleural effusions,"p shaw , r agarwal","cochrane database syst rev ,",2004.0
2344,sane expert and factual testimony,"le ledray , l barry","journal of emergency nursing ,",1998.0
2345,incremental maintenance of materialized ontologies,"r volz , s staab , b motik","lecture notes in computer science ,",
2362,revision of the self-monitoring scale,"rd lennox , rn wolfe","journal of personality and social psychology ,",1984.0
2366,c3wpf scheduler,"r agrawal , a bedekar , rj la , vg subramanian","proc . itc ,",
2370,"poly3dgui , a new graphical interface for industrial use : architecture and functionality","f maerten , l maerten","d. pollard & a. aydin , eds. , proceedings of the stanford & hellip ; ,",
2387,transformation-based learning using multirelational aggregation,"ma krogel , s wrobel","lecture notes in computer science ,",2001.0
2394,a systematic review of existing quality assessment tools used to assess the quality of diagnostic,"p whiting , a rutjes , j dinnes , jb reitsma , p",,
2402,meeting the userâ ?? s intention in programming by demonstration systems .,"m sassin , s bocionek","proc acquisition learning and demonstration workshop ,",
2415,mathematical programming approaches to machine learning and data mining,ps bradley,,1998.0
2427,"domesticating a crisis : washington newsbeats , human interest stories , and international news in the",t cook,"science research council . seattle , washington ,",
2432,skew handling techniques in sort-merge join,"w li , d gao , rt snodgrass",,
2441,cognitive science and the work of reform,df halpern,"new directions for higher education ,",2002.0
2465,the mechanics of ship collisions,z shengming,"denmark , technical university of denmark ,",
2470,the island fox ; a field study of its behavior and ecology : unpublished ph. d,ll laughrin,,1977.0
2474,new directions for theory and research on teaching : a review of the past twenty years,m theall,"new directions for teaching and learning ,",1999.0
