id,title,authors,venue,year
1,sql/xml is making good progress,"a eisenberg , j melton",sigmod record,2002
16,data mining : practical machine learning tools and techniques - book review,j geller,sigmod record,2002
23,databases and transaction processing : an application-oriented approach - book review,a kemper,sigmod record,2002
24,"the clustra telecom database : high availability , high throughput , and real-time response","s hvasshovd , и torbjјrnsen , s bratsberg , p holager",vldb,1995
29,an active functionality service for e-business applications,"m cilia , a buchmann",sigmod record,2002
30,contracting in the days of ebusiness,"w hќmmer , w lehner , h wedekind",sigmod record,2002
59,data warehousing and business intelligence for e-commerce - book review,f goethals,sigmod record,2002
65,an approach for building secure database federations,"d jonscher , k dittrich",vldb,1994
72,efficient and effective clustering methods for spatial data mining,"r ng , j han",vldb,1994
73,automata theory for xml researchers,f neven,sigmod record,2002
85,database graph views : a practical model to manage persistent graphs,"a gutiщrrez , p pucheral , h steffen , j thщvenin",vldb,1994
90,an effective deductive object-oriented database through language integration,"m barja , n paton , a fernandes , m williams , a dinn",vldb,1994
110,querying multiple bioinformatics data sources : can semantic web research help ?,"d buttler , m coleman , t critchlow , r fileto , w han , l liu , c pu , d rocco , l xiong",sigmod record,2002
115,editor 's notes,l liu,sigmod record,2002
116,metrics for accessing heterogeneous data : is there any hope ? ( panel ),"l seligman , n belkin , e neuhold , m stonebraker , g wiederhold",vldb,1995
118,book review column,k aberer,sigmod record,2002
119,a study on the management of semantic transaction for efficient data retrieval,"s huang , i kwan , c li",sigmod record,2002
149,"jeffrey d. ullman speaks out on the future of higher education , startups , database theory , and more",,,2001
154,indexing multiple sets,"c kilger , g moerkotte",vldb,1994
163,sql multimedia and application packages ( sql/mm ),"j melton , a eisenberg",sigmod record,2001
172,research in multi-organizational processes and semantic information brokering at the lsdis lab,"a sheth , j miller , k kochut , i arpinar",sigmod record,2001
176,introduction to the career forum column,a labrinidis,sigmod record,2001
192,experiments on access to digital libraries : how can images and text be used together,m lesk,vldb,1994
206,user interfaces ; who cares ?,s spaccapietra,vldb,1994
210,efficient similarity search and classification via rank aggregation,"r fagin , r kumar , d sivakumar",sigmod conference,2003
216,estimating compilation time of a query optimizer,"i ilyas , j rao , g lohman , d gao , e lin",sigmod conference,2003
243,reasoning about spatial relationships in picture retrieval systems,"a sistla , c yu , r haddad",vldb,1994
266,vist : a dynamic index method for querying xml data by tree structures,"h wang , s park , w fan , p yu",sigmod conference,2003
269,sql standardization : the next steps,"a eisenberg , j melton",sigmod record,2000
