id,title,authors,venue,year
1,initiation of crazes in polystyrene,"as argon , jg hannoosh","phil . mag ,",
12,stereochemical applications of gas-phase electron diffraction,"k kuchitsu , m nakata , s yamamoto , i hargittai , m","hargittai ,",
22,the racing algorithm : model selection for lazy learners,"o maron , aw moore","artificial intelligence review ,",1997.0
25,too much middleware,m stonebraker,"sigmod record ,",2002.0
31,wanted : true believers,f hayes,"computerworld ,",
34,"psm : software tool for simulating , prototyping , and monitoring of multiprocessor systems","a stafylopatis , i papakonstantinou , s kaxiras","information and software technology ,",1992.0
44,lohman . gm r * optimizer validation and performance evaluation for local queries,lf mackert,"proceedings of sigmodâ ?? 86 . washington . may ,",
53,tunning red for web traffic,"m christiansen , k jeffay , d ott , fd smith",proc .,
56,the art of deliberalizing : a handbook for the true professional .,wc booth,"new directions for teaching and learning ,",1990.0
59,white christmas could become dream .,w brandel,"computerworld. ,",1989.0
61,"biological data management : research , practice and opportunities",t topaloglou,"proceedings of the international conference on very large & hellip ; ,",2004.0
71,progress in the development of large area sub-millimeter resolution cdznte strip detectors,"jr macri , dv boykin , k larson , m mayer , ml","proc . spie ,",1996.0
74,students in learning groups : active learning through conversation,"c bouton , ry garth","learning in groups , new directions for teaching and",
92,acquiring student feedback that improves instruction .,hg murray,"new directions for teaching and learning ,",1987.0
100,gastroenteritis due to kanagawa negative vibrio parahaemolyticus,", i goto , i minematsu , n ikeda , n asano , m","lancet i ,",1987.0
128,"reyes , de los , guillermo",p revere,,
160,legal studies and mediation .,j rifkin,"new directions for higher education ,",1980.0
177,exploiting temporal parallelism for software-only video effects processing,"k mayer-patel , la rowe",,
189,personal communications,j mao,"ibm almaden research center ,",
200,"intra-annual changes in the abundance of coho , chinook , and chum salmon in puget sound in 1997","rj beamish , m folkes , r sweeting , c mahnken",,
204,wireless infrared communications,"m kahn joseph , r barry john","proceedings of the ieee ,",
219,passive dynamic running,"mh raibert , cm thompson","experimental robotics i ,",
242,"yu . a. medvedev , and bm stepanov",av zhemerev,at .,
262,mpegâ ?? 7 camera,"t ebrahimi , y abdeljaoued , rmf i ventura , od",,
269,selenium determination in animal whole blood using stabilized temperature platform furnace and,"rh eckerlin , dw hoult , gr carnrick","at spectrosc ,",
270,automatic assessment aids for pascal programs,mj rees,"acm sigplan notices ,",1982.0
274,the transmembrane domain of the large subunit of hsv-2 ribonucleotide reductase ( icp10 ) is required,"cc smith , jh luo , jcr hunter , jv ordonez","virology-new york - ,",1994.0
281,â ?? punctualityâ ?? and verb semantics,s engelberg,,
282,evaluation of winter rye hybrids fertility,"l madej , r osinski , j jagodzinski","biuletyn-instytutu hodowli i aklimatyzacji roslin ,",1995.0
283,martingale estimating functions based on eigenfunctions for discretely observed small diffusions,m uchida,,2004.0
284,social experimentation,h riecken,,
302,a university-industry association model for curriculum enhancement .,m passer,"new directions for higher education ,",1984.0
311,combining ontologies : an analysis of problems and solutions,m klein,,
340,dose loads on hydrobionts and the population in regions of operation of nuclear-powered ships,"va danilyan , vd vysotskii , mn katkova , ii kryshev",at .,
343,the situational factors affecting teaching .,ld fink,"new directions for teaching and learning ,",1984.0
347,rate-monotonic analysis for real-time industrial computing,"mh klein , jp lehoczky , r rajkumar",,
376,expectations of italian cheese in the pizza industry,rj alvarez,"proceedings of the 23rd annual marschall invitational & hellip ; ,",
397,lecture-â ?? process for developing aap guidelinesâ ?? . baltimore,n halsey,"md ,",
398,e-research : research on pay-per-use of broadband internet service,bh lee,"electronic times ,",
407,plant resistance to nematodes,ja veech,"see ref ,",
435,clarans : a method for clustering objects for spatial data mining,rt ng,,
437,algorithm 63 : partition,car hoare,"communications of the acm ,",1961.0
439,state is workers seek greener pastures,p thibodeau,,
458,experimental study of propulsive efficiency of pulsed detonation,"r zitoun , v gamezo , c guerroud , d desbordes","proc . of the 21st int . symp . on shock waves , great keppel ,",
462,decision support in knowledge acquisition : concept characterization using genetic algorithms,a lee-post,,
465,perceiving pervasive discrimination among african americans : implications for group identification,"nr branscombe , mt schmitt , rd harvey","journal of personality and social psychology ,",1999.0
472,the placement allocation program : a practical solution to the disk file assignment problem,j wolf,"proc . acm sigmetrics conf ,",
479,local correspondence for detecting random forgeries,"jk guo , d doermann , a rosenfeld",,
505,price and service discrimination in queuing systems : incentive compatibility of gc scheduling,ja van mieghem,"management science ,",2000.0
510,technologyâ ?? s impact,rj coley,"electronic school ,",
529,r-trees : a dynamic index structure for spatial searching,a guttrnan,"proceedings of the sigmod conference , boston , june ,",
538,data grid management systems,"rw moore , a jagatheesan",,
547,statistics of frequency-response estimates,jl douce,,
551,closed-loop balancing and singular perturbation : a new result,"l fortuna , g muscato , g nunnari","electronic letters ,",1991.0
561,"y , jiang and yk ng.â ?? record-boundary discovery in web documents , â ??",d embley,"proc . acm sigmod conf ,",
578,khordeh avesta,f shahzadi,"san diego ,",
580,pouchitis after ileal pouch-anal anastomosis : a pouchitis disease activity index,"wj sandborn , wj tremaine , kp batts , jh pemberton","mayo clinic proceedings ,",1994.0
586,microsoft excel data analysis and business modeling,wl winston,,2004.0
592,customer data faces rough road to factory,c stedman,"computerworld ,",
608,r. yavatkar . distributed file organization with scalable cost/performance . acm-sigmod int . conf,"r vingralek , y breitbart , g weikum","on management of data ,",
613,logjam : a tangible multi-person interface for video logging,"j cohen , m withgott , p piernot",,
634,"automatic acquisition of the lexical semanl , ics of verbs fl ` om sentence frames","m webster , m mm ` cus","procs of a cl &#39; 89 ,",
649,"ho nson , je schweitzer , and er warkentine , â ?? a dbms facility for handling structured engineering",j hr,proc . 1989 acm engineering design,
656,environmental isotopes in hydrogeology,"id clark , p fritz","crc , new york ,",1997.0
659,microsoft asp . net step by step,ga duthie,,
660,some numerical results about minimization problems involving eigenvalues,e oudet,to,
669,mechanical behavior of steam-treated spruce wood under compressive strain,"pp kã $ renlampi , p tynjã $ lã $ , p strã ¶ m",submitted for,
681,applying cosine series to join size estimation,"c luo , z jiang , wc hou","proceedings of the 14th acm international conference on & hellip ; ,",2005.0
688,regular research articles,b cooper,"acm sigmod record ,",2005.0
703,learning a word processing system with training wheels and guided exploration,"r catrambone , jm carroll","acm sigchi bulletin ,",1986.0
718,sexual selection and taxonomic diversity in passerine birds,"tg barraclough , ph harvey , s nee","proceedings : biological sciences ,",1995.0
719,"the transmeta code morphing software : using speculation , recovery and adaptive retranslation to","jc dehnert , bk grant , jp banning , r johnson , t",,
721,multimethod probes of individualism and collectivism,"hc triandis , c mccusker , ch hui","journal of personality and social psychology ,",
727,additive problems and eigenvalues of the modular operators,yv linnik,proc . int . cong . math . stockholm,
728,stufengerechte beurteilung und optimierung der thermischen prozesssicherheit mittels dynamischer,a keller,,1998.0
751,technical article : understanding performance testing,"a ching , a wagner",,2001.0
759,a comparison of mpi performance on different mpps,"m resch , h berger , t boenisch","lecture notes in computer science ,",1997.0
761,topologically constrained manganese ( iii ) and iron ( iii ) complexes of two cross-bridged,"tj hubin , jm mccormick , nw alcock , dh busch","acc . chem . res ,",1996.0
763,methodology of social sciences,pa gemtos,,1987.0
790,termination of context-sensitive rewriting by rewriting,s lucas,"proceedings of the 23rd international colloquium on automata & hellip ; ,",1996.0
791,video transport over wireless channels : a cycle-based approach for rate control,"m hassan , l atzori , m krunz","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
797,"rb , warren , '' a computer system for cardiac electrical measurement and control , ''","rc barr , gs herman-giddens , ms spach","proc . 28th acemb , sept ,",
799,the linear rational collocation method with iteratively optimized poles for two-point boundary value,"jp berrut , hd mittelmann","submitted for publication ,",
807,smart furniture : a platform for context-aware embedded ubiquitous applications,h tokuda,"proceedings of the fourth acm international conference on & hellip ; ,",2004.0
815,on the constitution of atoms and molecules ( pt 1 ),n bohr,"phil . mag ,",
818,read-only transactions in a distributed database,"h garcia-molina , g wiederhold","acm transactions on database systems ,",1982.0
