id,title,authors,venue,year
2,using formal methods to reason about semantics-based decompositions of transactions,"p ammann , s jajodia , i ray",vldb,1995
13,the fittest survives : an adaptive approach to query optimization,"h lu , k tan , s dao",vldb,1995
15,type classification of semi-structured documents,"m tresch , n palmer , a luniewski",vldb,1995
26,neurorule : a connectionist approach to data mining,"h lu , r setiono , h liu",vldb,1995
41,bigsur : a system for the management of earth science data,"p brown , m stonebraker",vldb,1995
49,w3qs : a query system for the world-wide web,"d konopnicki , o shmueli",vldb,1995
50,the design of a retrieval technique for high-dimensional data on tertiary storage,"r orlandic , j lukaszuk , c swietlik",sigmod record,2002
57,a brief survey of web data extraction tools,"a laender , b ribeiro-neto , a silva , j teixeira",sigmod record,2002
68,introduction to constraint databases - book review,,,2002
69,"fast , randomized join-order selection - why use transformations ?","c galindo-legaria , a pellenkoft , m kersten",vldb,1994
70,foundations of statistical natural language processing - book review,,,2002
75,fast incremental indexing for full-text information retrieval,"e brown , j callan , w croft",vldb,1994
100,interview with david maier,,,2002
103,flexible relations - operational support of variant relational structures,"c kalus , p dadam",vldb,1995
105,"agents , turst , and information access on the semantic web","t finin , a joshi",sigmod record,2002
156,the hcc-tree : an efficient index structure for object oriented databases,"b sreenath , s seshadri",vldb,1994
161,java support for data-intensive systems : experiences building the telegraph dataflow system,"m shah , s madden , m franklin , j hellerstein",sigmod record,2001
167,report on the 8th international workshop on knowledge representation meets databases ( krdb ),,,2001
175,cache conscious algorithms for relational query processing,"a shatdal , c kant , j naughton",vldb,1994
200,containment join size estimation : models and methods,"w wang , h jiang , h lu , j yu",sigmod conference,2003
212,extracting structured data from web pages,"a arasu , h garcia-molina",sigmod conference,2003
229,including group-by in query optimization,"s chaudhuri , k shim",vldb,1994
242,interview with avi silberschatz,,,2002
248,materialization : a powerful and ubiquitous abstraction pattern,"a pirotte , e zimсnyi , d massart , t yakusheva",vldb,1994
250,report on the 18th british national conference on databases ( bncod ),,,2002
270,reminiscences on influential papers,,,2000
272,incremental maintenance of recursive views using relational calculus/sql,"g dong , j su",sigmod record,2000
278,chair 's message,,,2000
279,beyond document similarity : understanding value-based search and browsing technologies,"a paepcke , h garcia-molina , g rodrэguez-mulр , j cho",sigmod record,2000
286,efficient processing of joins on set-valued attributes,n mamoulis,sigmod conference,2003
292,generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl,"a labrinidis , n roussopoulos",sigmod record,2000
296,dynamic sample selection for approximate query processing,"b babcock , s chaudhuri , g das",sigmod conference,2003
301,a comprehensive xquery to sql translation using dynamic interval encoding,"d dehaan , d toman , m consens , m жzsu",sigmod conference,2003
305,formal semantics and analysis of object queries,g bierman,sigmod conference,2003
311,a theory of redo recovery,"d lomet , m tuttle",sigmod conference,2003
315,composing xsl transformations with xml publishing views,"c li , p bohannon , h korth , p narayan",sigmod conference,2003
317,an optimal and progressive algorithm for skyline queries,"d papadias , y tao , g fu , b seeger",sigmod conference,2003
321,chair 's message,,,2000
325,building notification services with microsoft sqlserver,p seshadri,sigmod conference,2003
331,new tpc benchmarks for decision support and web commerce,"m pіss , c floyd",sigmod record,2000
332,integration of electronic tickets and personal guide system for public transport using mobile terminals,"k goto , y kambayashi",sigmod conference,2003
333,constraint databases : a tutorial introduction,j bussche,sigmod record,2000
345,vldb workshop on technologies in e-services ( tes ),,,2000
346,sigmod program review,,,2000
351,"research and practice in federated information systems , report of the efis ' 2000 international workshop",,,2000
356,mapping data in peer-to-peer systems : semantics and algorithmic issues,"a kementsietsidis , m arenas , r miller",sigmod conference,2003
372,"temporal coalescing with now , granularity , and incomplete information",c dyreson,sigmod conference,2003
381,querying multi-dimensional data indexed using the hilbert space-filling curve,"j lawder , p king",sigmod record,2001
405,adept : an agent-based approach to business process management,"n jennings , t norman , p faratin",sigmod record,1998
410,chair 's message,,,1998
418,reminiscences on influential papers,,,1999
422,timber : a native system for querying xml,"s paparizos , s al-khalifa , a chapman , h jagadish , l lakshmanan , a nierman , j patel , d srivastava , n wiwatwattana , y wu , c yu",sigmod conference,2003
439,qxtract : a building block for efficient information extraction from plain-text databases,"e agichtein , l gravano",sigmod conference,2003
440,peerdb : peering into personal databases,"b ooi , k tan , a zhou , c goh , y li , c liau , b ling , w ng , y shu , x wang , m zhang",sigmod conference,2003
461,going public : open-source databases and database research,p bonnet,sigmod conference,2002
464,database research at the university of oklahoma,"l gruenwald , l brown , r dirckze , s guinepain , c sсnchez , b summers , s vanichayobon",sigmod record,1999
467,distributing queries over low-power wireless sensor networks,"s madden , j hellerstein",sigmod conference,2002
477,editor 's notes,m franklin,sigmod record,1999
489,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",c aggarwal,sigmod conference,2002
491,dwarf : shrinking the petacube,"y sismanis , a deligiannakis , n roussopoulos , y kotidis",sigmod conference,2002
513,integrating dynamically-fetched external information into a dbms for semistructured data,"j mchugh , j widom",sigmod record,1997
518,implementing database operations using simd instructions,"j zhou , k ross",sigmod conference,2002
543,virtual database technology,"a gupta , v harinarayan , a rajaraman",sigmod record,1997
545,chair 's message,,,1997
548,selectivity estimation for spatio-temporal queries to moving objects,"y choi , c chung",sigmod conference,2002
550,wavelet synopses with error guarantees,"m garofalakis , p gibbons",sigmod conference,2002
591,enhanced nearest neighbour search on the r-tree,"k cheung , a fu",sigmod record,1998
598,editor 's notes,m franklin,sigmod record,1998
602,epsilon grid order : an algorithm for the similarity join on massive high-dimensional data,"c bіhm , b braunmќller , f krebs , h kriegel",sigmod conference,2001
633,workflow history management,"p koksal , s arpinar , a dogac",sigmod record,1998
644,generating efficient plans for queries using views,"f afrati , c li , j ullman",sigmod conference,2001
674,database research : achievements and opportunities into the 21st century,"a silberschatz , m stonebraker , j ullman",sigmod record,1996
685,space-efficient online computation of quantile summaries,"m greenwald , s khanna",sigmod conference,2001
701,efficient and effective metasearch for text databases incorporating linkages among documents,"c yu , w meng , w wu , k liu",sigmod conference,2001
702,"shutdown , budget , and funding",x qian,sigmod record,1996
708,integrating modelling systems for environmental management information systems,"d abel , k taylor , d kuo",sigmod record,1997
714,improving index performance through prefetching,"s chen , p gibbons , t mowry",sigmod conference,2001
720,dynamic information visualization,y ioannidis,sigmod record,1996
722,"a response to r. camps ' article `` domains , relations and religious wars ''",c date,sigmod record,1996
738,models and languages for describing and discovering e-services,,,2001
740,lots o ' ticks : real-time high performance time series queries on billions of trades and quotes,"a whitney , d shasha",sigmod conference,2001
753,finding generalized projected clusters in high dimensional spaces,"c aggarwal , p yu",sigmod conference,2000
754,"tcp-d - the challenges , issues and results",r bhashyam,sigmod record,1996
766,monitoring xml data on the web,"b nguyen , s abiteboul , g cobena , m preda",sigmod conference,2001
769,a comparison of three user interfaces to relational microcomputer data bases,"c medsker , m christensen , i song",sigmod record,1995
779,congressional samples for approximate answering of group-by queries,"s acharya , p gibbons , v poosala",sigmod conference,2000
783,acm multimedia '94 conference workshop on multimedia database management systems,"p berra , k nwosu , b thuraisingham",sigmod record,1995
786,"turmoil at nasa , and numerous funding announcements",x qian,sigmod record,1995
794,on the issue of valid time ( s ) in temporal databases,"s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos",sigmod record,1995
802,\ are the terms \ '' \ `` version \ '' \ '' and \ '' \ `` variant \ '' \ '' orthogonal to one another ? a critical assessment of the step standardization \ '' '',h wedekind,sigmod record,1994
803,a goal-driven auto-configuration tool for the distributed workflow management system mentor-lite,"m gillmann , j weiпenfels , g shegalov , w wonner , g weikum",sigmod conference,2000
808,data mining on an oltp system ( nearly ) for free,"e riedel , c faloutsos , g ganger , d nagle",sigmod conference,2000
810,mining frequent patterns without candidate generation,"j han , j pei , y yin",sigmod conference,2000
811,data modelling in the large,m bertram,sigmod record,1994
