id,title,authors,venue,year
2,immunogold labelling is a quantitative method as demonstrated by studies on aminopeptidase n in,"gh hansen , ll wetterberg , h sjã ¶ strã ¶ m , o norã © n","the histochemical journal ,",1992.0
4,the role of faculty advising in science and engineering,jr cogdell,"new directions for teaching and learning ,",1995.0
5,the zero multiplicity of linear recurrence sequences,wm schmidt,to,
7,the photosynthetic reaction center,"jr norris , j deisenhofer","san diego : academic ,",
9,multidimensional similarity structure analysis,"i borg , jc lingoes",,1987.0
14,"li. , c. , and vitter . j. 2001 . supporting incremental join queries on ranked inputs","a natsev , y chang , j smith",proceedings of the very large data bases conference ( vldb ;,
21,world population prospects : the 1996 revision,u nations,"new york ,",
29,capturing design rationale in concurrent engineering teams,m klein,,
35,electrocardiographic manifestations : patterns that confound the ekg diagnosis of acute myocardial,"wj brady , tc chan , m pollack","journal of emergency medicine ,",2000.0
41,tools for statistical inference,ma tanner,,1993.0
43,modeling and analysis of a traveling wave tube under multitone excitation,jg wohlbier,,2000.0
51,"mentoring undergraduate minority students : an overview , survey , and model program","mc terrell , rk hassell","new directions for teaching and learning ,",1994.0
54,a sigma ~ 3 type condition for heavy cycles in weighted graphs,"s zhang , x li , h broersma","discussiones mathematicae graph theory ,",2001.0
63,"a resource for your cosmetology career , 2000 edition",s fundamentals,,
66,measuring the light regime under vegetation .,ca federer,,1964.0
78,adding some spice to csi curricula,"g holmes , tc smith","proceedings of szgcse â ?? 97 ,",1997.0
88,sybase iq multiplex-designed for analytics,"r macnicol , b french",,
97,comparing data streams using hamming norms ( how to zero in ),"g cormode , m datar , p indyk , s muthukrishnan","ieee transactions on knowledge and data engineering ,",2003.0
101,devise : integrated queryingand visual explorationof large datasets,"m livny , r ramakrishnan , k beyer , g chen , d","proceedings of the 1997acm-sigmod conference ,",
106,evaluating administrators .,dp hoyt,"new directions for higher education ,",1982.0
107,initial results from the euv engineering test stand,"d tichenor , a ray-chaudhuri , s lee , h chapman , w",,
138,photoprotection by carotenoids,mm mathews-roth,"fed proc ,",1987.0
148,estimating dna sequence entropy,jk lanctot,,
153,plan mining by divide-andconquer,"j han , q yang , e kim","proceedings of sigmodâ ?? 99 workshop on research issues on & hellip ; ,",
156,"foundations of differential geometry ( interscience , new york , 1963 )","s kobayashi , k nomizu",vol .,
157,blind nasotracheal intubation in the presence of facial trauma,"cl rosen , re wolfe , se chew , sw branney , ej roe","journal of emergency medicine ,",1997.0
163,"ws-catalognet : an infrastructure for creating , peering , and querying e-catalog communities","k baina , b benatallah , h paik , f toumani , c rey , a","proceedings of the international conference on very large & hellip ; ,",
165,stochastic averaging of hamiltonian systems : a direct martingale proof of a result by freidlin and,"r sowers , n sri namachchivaya","submitted for publication ,",
167,î ³ - spectrometric determination of the content of natural radionuclides in ground water,"a mukhamedov , gv poteshkin , us salikhbaevâ ? ¦",at .,
176,to edit rdf,u protã © gã ©,,
185,capitalistic mathematics,vp maslov,manuscript,
187,rainwater-harvesting agriculture for food production in arid zones : the challenge of the african,"hj bruins , m evenari , u nessler","applied geography ,",
