id,title,authors,venue,year
11,"ded. , d. roncagliolo y u. velarde ( 1997 ) interactions and independence in stated preference",j ortãºzar,proceedings of the 25 theuropean transport,
19,recognita plus : ocr with strength in hardware,b simon,"pc magazine ( 10 ) ,",
24,consequences of migration and remittances for mexican transnational communities .,"d conway , jh cohen","economic geography ,",1998.0
39,"service specification and protocol construction for a layered architecture , university of maryland",sl murphy,"md ,",
40,foot orthoses . . williams & wilkins : baltimore,kk wu,"md ,",
70,real-time networking for the implementation of cim,"lr lin , hp huang",proc . int . conf . automation,
73,hierarchical grouping in artificial intelligence . aaai spring symposium on artificial intelligence,m mortimer,,2000.0
84,understandittg activex and ole,d chappell,,
98,a quantitative cytochemical assay for osteoclast acid phosphatase activity in foetal rat calvaria,"dm webber , ip braidman , wr robertson , dc anderson","the histochemical journal ,",1988.0
104,affinity relation discovery in image database clustering and content-based retrieval,"ml shyu , sc chen , m chen , c zhang","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0
111,observations of frontal zone structures with a vhf doppler radar and radiosondes,"mf larsen , j roettger","conference on radar meteorology , 22 nd , zurich , switzerland ,",1984.0
121,how coping mediates the effect of optimism on distress : a study of women with early stage breast,"cs carver , c pozo , sd harris , v noriegaâ ? ¦","journal of personality and social psychology ,",1993.0
124,thread-local heaps for java,"t domani , g goldshtein , ek kolodner , e lewis , e",,
126,roussopoulos . performanceandscalabilityofclient-server database architecture,a delisandn,,1992.0
129,transputer implementation of kalman filters,"lp maguire , gw irwin",,
141,preferential treatment for short flows to reduce web latency,"x chen , j heidemann","computer networks ,",2003.0
145,"assessment , enhancement , and verification determinants of the self-evaluation process",c sedikides,"journal of personality and social psychology ,",1993.0
170,participation 's effects on performance and satisfaction : a reconsideration of research evidence,ja wagner iii,"the academy of management review ,",1994.0
210,lowering security overhead in link state routing,"rc hauser , t przygienda , g tsudik","computer networks ,",1999.0
248,"testability , 1985 technology forecast",b milne,"electronic design ,",
263,"a. , h. muroya , and rg gould . 1972",p edwards,vivo demonstration of the circadian . rhythm of cholesterol,
264,asilomar report,"p bernstein , m brodie , s ceri , m franklinâ ? ¦","sigmod record ,",
280,the discovery of the individual 1050-1200,c morris,,
285,computer implementation of thenite element method,a george,"stanford university technical report stan-cs-208 , stanford , ca ,",
286,"land degradation in the yallahs basin , jamaica : historical notes and contemporary observations","d barker , dfm mcgregor","geography ,",
294,classroom behaviors related to college teaching effectiveness,h murray,"new directions for teaching and learning : using research to & hellip ; ,",
308,what teachers can do to relieve problems identified by international students,ds lee,"new directions for teaching and learning ,",1997.0
314,an evaluation of buffer management strategies for relational database systems / / vldb '85,"ht chou , dj dewitt","proceedings of 11th international conference on very large & hellip ; ,",
316,thin is in : wafer-thinning method delivers ultra-slim chips with a clean process,d bursky,"electronic design ,",
317,helping faculty to help their students learn .,j katz,"new directions for teaching and learning ,",1989.0
319,syntactic accidents in program analysis,"d damian , o danvy",proceedings of the 2000 acm sigplan international conference,
323,a pattern of vortexflow of continental crust and the environ mental geology in china,l zonghua,,1986.0
331,shaping minds musically,t machover,"bt technology journal ,",2004.0
381,strong asymmetries in impurity distributions of jet plasmas .,b alper,,
383,understanding your chemstation,h packard,"san diego , calif ,",
401,establishing the planning process for selecting appropriate career programs .,pc winstead,"new directions for higher education ,",1987.0
418,"0 . g. tsatalos , sj white , and mj zwiiiing . shoring up persistent applications","mj carey , dj dewitt , mj franklin , ne hall , ml",proc . acm sigmod,
422,update semantics of relational views,"f bancilhon , n spyratos","acm transactions on database systems ,",1981.0
428,id 90.1 reference manual . csg memo 284-2,rs nikhil,,1990.0
442,predation and coloniality in seabirds,m gochfeld,"proc . int . ornithol . congr ,",
443,semantic web recommender systems,cn ziegler,,
457,queueing theory,rb cooper,"proceedings of the acm &#39; 81 conference ,",1981.0
466,improved query performance with variant indices,"poâ ?? neill , d quass","proceedings of sigmod conference ,",
481,caâ ?? s object database gets two-step release,s craig,"computerworld ,",
483,issues in developing very large data warehouses,"l do , p drew , w jin , v jumani , d van rossum","proceedings of the international conference on very large & hellip ; ,",1998.0
484,additive logisitic regression : a statistical perspective on boosting,"jh friedman , t hastie , r tibshirani",,1998.0
491,effects of long-term and reduced-dose hormone replacement therapy on endothelial function and intima,"m hashimoto , m miyao , m akishita , t hosoi , k toba ,","menopause-new york - ,",2002.0
517,corcus sativus nigella sativa,km nadakarni,,1976.0
535,"issacâ ?? 96 : proceedings of the 1996 international symposium on symbolic and algebraic computation ,",yn lakshman,"zurich , switzerland . acm press , new york ,",
540,regional body-wave corrections and surface-wave tomography models to improve discrimination,"w walter , m pasyanos , a rodgers , k mayeda , a",,
543,efficient processing of expressive node-selecting queries on xml data in secondary storage : a tree,c koch,"proceedings of the international conference on very large & hellip ; ,",2003.0
544,analysis patterns for patient treatment,"t sorgente , eb fernandez , mm larrondo-petrie",submitted for,
570,"lernerautonomie und lernstrategien , fernstudieneinheit 23 , langenscheidt , mã 1/4 nchen , 2000","p bimmel , u rampillon",,
581,"the multiple ergodicity of non-discrete subgroups of diff ï ? ( s 1 ) , 2001","jc rebelo , rr silva",,
596,expert system for selecting expert system shells .,"a martin , rkh law","information and software technology ,",1988.0
597,metaphorical models of thought and speech : a comparison of historical directions and metaphorical,ee sweetser,"procs . 13th annual meeting of the berkeley linguistics & hellip ; ,",
602,objectives to direct the training of emergency medicine residents on off-service rotations :,"gm newland , lr wolf , ja bishop , gc hamilton","journal of emergency medicine ,",1993.0
605,adaptive disk scheduling in a multimedia dbms,"k lund , v goebel",,
610,local and global query optimization mechanisms for relational databases,"k satoh , m tsuchida , f nakamura , k oomachi","vldb ,",1985.0
615,international students publications and forms areas of study program administrators graduate faculty,f assistance,,
618,role of nectin in organization of tight junctions in epithelial cells,"a fukuhara , k irie , a yamada , t katata , t honda , k","genes to cells ,",2002.0
620,basic computer literacy skills expected of students by instructors at wisconsin indianhead technical,rd pennings,,2001.0
629,"mix barrington , huong lethanh , on counting ac0 circuits with negative constants","a ambainis , a david",proceedings of the 23rd international symposium on,
635,the transport of ciguatoxin : a case report,g asaeda,"journal of emergency medicine ,",2001.0
638,inside visual c++ 6.0 ( mit cd ),"d kruglinski , g sheperd , s wingo",,
653,behavior of dielectric barrier discharges in nitrogen/oxygen mixtures,"r brandenburg , kv kozlov , am morozov , he wagner , p","proc . 26th int . conf . on phenomena in ionized gases ( icpig - & hellip ; ,",
655,cold tolerance,e beck,"see ref ,",
668,hemispheric asymmetry and emotion,rj davidson,"approaches to emotion ,",
679,human resource development 's role in women 's career progress,"ks mcdonald , lm hite","new directions for adult and continuing education ,",1998.0
682,a language based multidatabase system,"e kã 1/4 hn , t tschernko , k schwarz","proceedings of the 1994 acm sigmod international conference & hellip ; ,",1994.0
690,rigorous evaluation of cots middleware technology,"i gorton , a liu , p brebner",,
692,intelligent software agents for managing distributed genomics data,jw keeleâ ? ¦,proc . 28th conf . int &#39; l soc . animal genetics,
700,fuzzy logic in diagnosis : possibilistic networks '' invited chapter in fuzzy logic ( j. baldwin ) john,m ulieru,,
715,a geographic redirection service for on-line games,"c chambers , w feng , w feng , d saha","proceedings of the eleventh acm international conference on & hellip ; ,",2003.0
717,codifying guarded definitions with recursive schemes,e gimenez,"lecture notes in computer science ,",1995.0
723,integrating user views in database design,"sb navathe , r elmasri , ja larson","ieee computer ,",
733,on ripples,jr wilton,"phil . mag ,",
739,co-operation in the digital ageâ ?? engendering trust in electronic environments,"a seleznyov , mo ahmed , s hailes","bt technology journal ,",2004.0
741,emergency treatment of fever phobia,ds nelson,"journal of emergency nursing ,",1998.0
743,fast software processing of motion jpeg video,bc smith,,
747,semantic streams : a framework for declarative queries and automatic data interpretation,"k whitehouse , f zhao , j liu",,
760,supporting multi-party voice-over-ip services with peer-to-peer stream processing,"x gu , z wen , ps yu , zy shae","proceedings of the 13th annual acm international conference & hellip ; ,",2005.0
768,surgical interruption of pelvic nerve pathways for primary and secondary dysmenorrhoea,"ml proctor , cm farquhar , oj sinclair , np johnson","cochrane database syst rev ,",2004.0
769,i want my aop,r laddad,,
774,toward middleware fault injection for automotive networks,"p koopman , e tran , g hendrey",,
798,multimode spectral coding of speech at low bit rates,a das,,1996.0
814,a tutorial introduction to the electronic design interchange format,jp eurich,,
835,"others . 1995 . ecological effects of stocked trout in naturally fishless high mountain lakes , north",wj liss,"pacific northwest region , seattle ,",
866,lineage tracing in a data warehousing system,"y cui , j widom",,
869,"dynamics of gender , ethnicity , and race in understanding classroom incivility",m alexander-snow,"new directions for teaching and learning ,",2004.0
877,ca 2-regulated photoproteins : structural insight into the bioluminescence mechanism,"es vysotski , j lee","acc . chem . res ,",2004.0
884,fast recognition of lines in digital images without user-supplied parameters,a busch,proceedings of,
895,a role for b lymphocyte stimulator ( blys ) in sjã ¶ grenâ ?? s syndrome,"x mariette , s roux , je gottenberg , f desmoulins , j",,
904,interoperability of peer-to-peer file sharing protocols,"sm lui , sh kwok",,
912,biotech no iogydb io en g in ee ri ng,"ae humphrey , hr bungay , fjs schultz , rp canale , af","md ,",1972.0
913,quantitative histochemical determination of succinic dehydrogenase activity in skeletal muscle,"ce blanco , gc sieck , vr edgerton","the histochemical journal ,",1988.0
917,towards a framework for numeracy assessment,"r callingham , p griffin","proceedings of the 23rd annual conference of the mathematics & hellip ; ,",
928,concept based query expansion,qyf hp,"proc acm sigir ,",
938,pat selinger speaks out,"p selinger , m winslett","sigmod record ,",
941,the hyperaccessibility of suppressed thoughts,"dm wegner , r erber","journal of personality and social psychology ,",1992.0
950,"the energy method , stability , and nonlinear convection",b straughan,,1992.0
952,a new efficient algorithm for computing grobner basis,jc faugere,"proceedings of mega ,",1998.0
963,calcineurin and the biological effect of cyclosporine and tacrolimus,"pf halloran , l kung , j noujaim","transplantation proceedings ,",1998.0
965,gb dom . focused crawling : a new approach to topic-specific web resource discovery [ j ],"s chakrabarti , m van den ber","computer networks ,",
980,experimental astronomy,"m barbera , a collura , a dara , m leone , fr powell ,",,1996.0
995,support systems and community mental health,g caplan,"new york ,",
997,a unifying model of physical databases,"ds batory , cc gotlieb","acm transactions on database systems ,",1982.0
999,ion current fluctuations in artificial ion track pores-power spectrum and generalized entropy,"a wolf , z siwy , ye korchev , n reber , r spohr","cellular and molecular biology letters ,",1999.0
1022,towards a formal representation of device functionality,jc bonnet,,
1025,the architecture of simplicity,d miller,"the academy of management review ,",1993.0
1035,mmdb reloading algorithms,"l gruenwald , mh eich","proc . acm sigmod int &#39; l conf . management of data ,",
1036,high performance fortran : status report,gl steele jr,"acm sigplan notices ,",1993.0
1043,converting relational to object-oriented databases,j fong,"sigmod record ,",1997.0
1071,itqs : an integrated transport query system,"b huang , z huang , h li , d lin , h lu , y song","proceedings of the 2004 acm sigmod international conference & hellip ; ,",2004.0
1078,when discourse becomes syntax : noun phrases and clauses as emergent syntactic units in finnish,ml helasvuo,,1997.0
1080,emergency nurses ' perceptions of critical incidents and stress debriefing,"c burns , nj harm","journal of emergency nursing ,",1993.0
1110,how state regulatory agencies address privatization : the case of wastewater treatment,"jg heilman , gw johnson","new directions for program evaluation ,",1991.0
1125,examples of vlf emissions recorded in the auroral zone ( abstract only ),"j manninen , t turunen , t turunen","proceedings of the 25 th annual conference of the finnish & hellip ; ,",1991.0
1127,toward a theory of organizational creativity,"rw woodman , je sawyer , rw griffin","the academy of management review ,",1993.0
1134,occupational infectious disease exposures in ems personnel,"e reed , mr daya , j jui , k grellman , l gerber , mo","journal of emergency medicine ,",1993.0
1138,blending finite-difference and vortex methods for incompressible flow simulations,"ml ould sahili , gh cottet , m el hamraoui",,
1139,modelling security policies in hypermedia and web-based applications,"p diaz , i aedo , f panetsos","lecture notes in computer science ,",2001.0
1167,school of library & information science,n kwon,,1987.0
1182,estimation of parameters in nonlinear distributed systems,"ht banks , ka murphy","proceedings of the 23rd conference on decision and control , & hellip ; ,",
1185,"hb hunt m , '' processmg ccmjuncuve predwattes and quertes '",dj rosenknmtz,"m proc 6th internattonal vldb conference , montreal , canada , & hellip ; ,",
1205,a numerical comparison of 2d resistivity imaging with eight electrode arrays,"t dahlin , z bing","procs . eegsâ ?? 01 , birmingham ,",
1206,amoebic liver abscess,op kapoor,,
1211,"integrity considerations for secure computer systems , the mltre corp. , report no . mtr-3153 revision",kj biba,"technical report esd-tr-76-372 , bedford , massachusetts , april",
