id,title,authors,venue,year
0,11578 sorrento valley road,qd inc,"san diego ,",
17,progress through ich toward harmonization of genetic toxicology testing practices for,gs probst,"seattle , washington dc ,",
32,multirate analog-digital systems for signal processing and conversion,"j franca , a petraglia , sk mitra","proceedings of the ieee ,",1997.0
36,learning with kernels [ ph. d. thesis ],aj smola,"technical university of berlin ,",
38,data in your face '' : push technology in perspective ( invited paper ) acm sigmod intl,"m franklin , s zdonik","conference on management of data , seattle , wa , june ,",
42,temperatures necessary to kill fungi in wood,s chidester,"proceedings of the 23rd annual meeting of the american wood - & hellip ; ,",
67,predicting the benefits of information retrieval techniques,a arnt,,
69,the defect structure and mechanical properties of spinel single crystals,mh lewis,"phil . mag ,",
83,"coauthors , 2003 : european temperature variability over the last 500 years , uncertainties , extremes",j luterbacher,,
86,lisp .,vr pratt,,1977.0
87,"stevens ce , harley ej , zang ea , oleszko wr , william dc , et al",w szmuness,"hepatitis b vaccine : demonstration of efficacy in a & hellip ; ,",
89,characterizing the effects of clock jitter due to substrate noise in discrete-time 1 = 6 modulators,p heydari,"proc . ieee/acm design automation conf ,",
108,information gathering in the world wide web : the w3ql query language and the w3qs system,"d konopnicki , o shmueli","acm transactions on database systems ,",1998.0
110,"babel : a testbed for research in origins of language , 1998",a mcintyre,submitted for,
116,"heated , humidified air for the common cold",m singh,"cochrane database syst rev ,",2000.0
118,ariadne : a system for constructing mediators for internet sources ( demonstration ),"j ambite , n ashish , g barish , a knoblock , s minton","proceedings of acm sigmodâ ?? 98 conference on management of & hellip ; ,",
123,getting started : informal small-group strategies in large classes,"jl cooper , p robinson","new directions for teaching and learning ,",2000.0
125,revisiting scholarship,c kreberâ ? ¦,"new directions for teaching and learning , no ,",
127,scalable session messages in srm using self-configuration,"p sharma , d estrin , s floyd , l zhang",,
131,jade : jabber-based authoring in distributed environments,"a roczniak , a el saddik","proceedings of the 13th annual acm international conference & hellip ; ,",2005.0
137,a value-added model for electronic commerce,to ` daniel,"electronic markets ,",
139,prehospital cardiac arrest survival and neurologic recovery,"m hillis , d sinclair , g butler , e cain","journal of emergency medicine ,",1993.0
149,svâ `` jeuxantiquesâ '',ve encarta,,1993.0
162,application servers ( panel session ) : born-again tp monitors for the web,"c mohan , l cable , m devin , s dietzen , p helland , d","proceedings of the 2001 acm sigmod international conference & hellip ; ,",2001.0
164,pollution prevention at shipyards,pnppr center,"seattle , washington , september ,",
168,controlled trial of internet based treatment for chronic back pain,"m buhrman , s fã $ ltenhag , l strã ¶ m , g andersson","unpublished manuscript ,",
175,"selectivity estimation in spatial databases , acm sigmod intl","s achaya , v poosala , s ramaswamy","conference on management of data ,",
192,role of interoperability in business application development,"d cohen , g larson , l berke","proceedings of the 1993 acm sigmod international conference & hellip ; ,",1993.0
