id,title,manufacturer,price
17,upg sgms 1000 incremental node,sonic-systems-inc .,
21,world book encyclopedia 2006,topics entertainment,19.99
25,kids power fun for girls,topics entertainment,19.99
30,adobe fireworks cs3 [ mac ],adobe,299.0
31,dinosaurs,topics entertainment,19.99
34,form workshop 1200,valusoft,29.99
35,the print shop pro publisher 22 deluxe [ dvd ],encore,99.99
41,imsi turbocad designer v. 11,imsi,39.99
53,boomerang webshop platinum,boomerang,
54,allume boost xp for windows,smith-micro-software,29.99
74,mac os x server v10 .4.7 10-client,apple,499.0
75,epson storyteller photo book creator 8 x 10 ( 20 pages ),epson,29.99
81,passwords plus 1.0,dataviz,29.99
85,write brothers dramatica pro win/mac,write brothers,269.99
87,microsoft licenses project svr sa govt ( h2200301 ),microsoft licenses,3601.4
89,everquest : titanium,sony-creative-software,19.95
91,iriscard pro business card scanner,iris,199.99
92,computrace lojack for laptops 4 year subscription,absolute software,119.99
93,microsoft office frontpage 2003 academic version windows ),microsoft,159.98
95,autocad 2007 courseware customizing the interface,autodesk psg,47.95
111,instant play electric guitar deluxe,topics entertainment,39.99
113,microsoft licenses win svr 2003 ext conn lic ( r3900292 ),microsoft licenses,3371.85
118,crystal reports xi professional edition,business objects,495.0
124,tlc dr. seuss reading learning system 2008,encore,19.99
129,oxford spanish dictionary,tri synergy,19.99
137,netmanage rumba unix-hp edition v. 7.3 upgrade license 902453-006 ),netmanage,
142,ca brightstor arcserve backup r11 .1 for netware tape library option service pack,computer associates,
153,upgrade 3d for exceed 2007 1u,hummingbird communications,
159,insight pwr mgr no media 1ltu,hewlett packard,
162,icopydvds2 ultra by digital wunders,global-marketing-partners,89.99
170,espro + interpretair s/w,fluke networks,5750.6
175,diskeeper 2007 professional single lic pack,diskeeper corporation,79.21
184,crystal reports xi developer,business objects,595.0
195,world of warcraft,blizzard entertainment,19.99
197,sonicwall global vpn client license 01-ssc-5310 ),sonic systems inc. .,
200,upg serverlock for solaris gold,watchguard technologies inc,
206,hp data protector exp bu svr cmp upgrade ltu,hewlett packard,
213,netmanage rumba web as/400 edition 910523-002 ),netmanage,
