id,title,manufacturer,price
0,clickart 950 000 premier image pack ( dvd-rom ),broderbund,
4,singing coach unlimited,carry-a-tune technologies,99.99
8,mia 's math adventure : just in time,kutoka,19.99
14,domino designer/developer v5 .0,lotus development,95.0
16,compaq comp . secure path v3.0c-netware wrkgrp 50 lic 231327-b22 ),compaq computer,
32,instant home design 3.0 [ lb ],topics entertainment,19.99
38,the big mix ( mac ),aladdin,59.99
49,reference success deluxe 2006,topics entertainment,49.95
51,mastercook deluxe low carb,valusoft,14.99
52,instant home design ( jewel case ),topics entertainment,9.99
57,museums of the world,topics entertainment,19.99
58,matchbox cross-town heroes,thq,19.99
61,personal image manager,smith-micro-software,29.99
64,kids power fun for kids,topics entertainment,19.99
71,monarch v9 .0 1u .,datawatch,699.0
98,cold zero : no mercy,encore software,19.99
100,textbridge pro 11 5u license xp,nuance communications inc. .,
105,instant immersion spanish ( audio book ),topics entertainment,
108,buzby breakin ' all the rules hermie and friends,digital praise,19.99
109,instant immersion french 2.0,topics entertainment,29.99
114,quickbooks pos : pro multistore 6.0,intuit inc.,1399.95
122,watchguard serverlock manager ( 100 servers ),watchguard-technologies-inc,14995.0
127,pantone reference library,pantone inc.,1623.06
135,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0
138,sonicwall gms standard edition 10 node license,sonicwall,
146,microsoft mappoint 2006 standard edition,microsoft,299.0
148,ca arcserve bkup r11 .1 / nw stor area netw ( san ) opt prod only,computer associates,
149,enterasys vpn & firewall code upgrade xsr-18xx-vpn-fw ),cabletron systems,1928.07
151,vrs4 .0 plus scsi workgroup scanning 5 & 6,fujitsu imaging,
155,softgrid cal for ts 4.1 english mlp 20 user cal,microsoft,
165,hp storageworks secure path for windows workgroup edition v. 4.0 c license 213076-b26 ),hewlett packard,
169,reel deal casino quest,phantom efx,19.99
174,1pk internet sec ste 2007 oem,ca oem,
176,instant immersion japanese ( audio book ),topics entertainment,
180,textbridge pro 11,nuance-communications-inc .,79.99
182,home bartending 101 shooters,arc-media-inc .,19.95
190,isi researchsoft reference manager 11 single user,isi researchsoft,299.99
192,buku karkuro,topware interactive,19.99
203,lotus dev . mqseries link for r/3-v 1.2 cd sol 04l1671 ),lotus development corp,
218,microsoft upg win small business svr cal t74-01215 ),microsoft corporation,330.14
227,e frontier manga studio debut 3.0 ( single user ),curious labs inc.,49.99
229,vcomm system suite professional 7,avanquest,49.95
233,photo explosion deluxe 3.0,nova development,49.99
234,ntrack anti-theft by synet electronics,global marketing partners,
