id,title,manufacturer,price
7,acad upgrade dragon naturallyspeaking pro solution 9.0 ( a289a-fd7-9 .0 ),nuance academic,399.54
9,disney 's 1st & 2nd grade bundle ( pixar 1st grade secret keys and aladdin reading quest ),disney,14.99
12,microsoft sql server standard edition 2005 64 bit cd/dvd 5 client,microsoft,1849.0
24,data protection suite,stomp inc,69.99
26,adobe premiere pro cs3 upgrade,adobe,299.0
29,family tree maker 11.2 collector 's edition,encore,109.95
36,stomp inc recover lost data 2005,stomp inc,39.95
40,the print shop 22 deluxe,encore,49.99
44,instant immersion language lab deluxe edition,topics entertainment,
47,math success deluxe 2006,topics entertainment,49.99
55,jumpstart learning games phonics ( pc & mac ),knowledge adventure,9.99
60,trudy 's time and place house ages 3-6,ibm,
68,mom standard ops mgmt lic 2005 english mlp 5 oml,microsoft,
70,diskeepeer 2007 admin upgrade sngl lic pack,diskeeper corporation,200.0
77,age of mythology ( mac ),macsoft,19.99
79,ca internet security suite 2007 3 user,computer associates,69.95
80,kaplan sat/act/psat express,topics entertainment,9.99
82,emedia essential bass guitar,emedia,19.95
83,scratches : directors cut,got game,19.99
86,emedia bass method win/mac,emedia,59.99
106,cisco security server agent for windows and solaris license 100 agents win solaris csa-b100-srvr-k9 ),cisco-systems-enterprise,
107,photoshop elements 5 and premiere elements 3 bundle win minibox ( 29180248 ),adobe,242.62
110,hp digital sending secure license 50 users std,hewlett packard,
112,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99
115,encyclopedia britannica deluxe 2008 win/mac,avanquest,29.95
116,cook 'n vegetarian,dvo enterprises,19.99
120,crusader kings,atari,19.99
126,oxford spanish dictionary,oxford-university-press,19.95
130,microsoft licenses sps extrnlconnnonemplyenglands c ( h3200034 ),microsoft licenses,101515.55
134,employee appraiser 5.0 deluxe mailer,global marketing,394.6
141,exceed 2007 with 1yr mnt 1u,hummingbird communications,650.0
143,adobe acrobat distiller svr v6-cd linux u/u 42050142 ),adobe systems,
150,suretrak project manager 3.0,primavera systems,499.0
156,details 3.0,aec software,304.99
164,sea scene : living underwater worlds ( jewel case ),valusoft,9.99
